URN,NOS Title,Skills extracted
COGLATA2-09,Clean and tidy the workplace after scientific or technical learning activities,Consumables; Storage; Risk assessment; Cleaning; People work
COGDO25,Participate in shutting down equipment in downstream operations,Permit; Parameter; Instruction; Storage; People work; Schedule; Logic
COGLATA2-03,Use information recording systems for scientific or technical activities,Information systems; Storage; People work; Scheme
COGLATA2-06,Prepare compounds and solutions for scientific or technical use,Calculation; Stock solution; Coat; Solvent
COGLATA2-07,"Demonstrate scientific or technical methods, techniques and skills to others in the workplace",Promote; Training; Consumables; Storage
COGLATA2-08,Prepare resources and equipment for scientific or technical learning activities,Cost; Consumables; Risk assessment
COGLATA3-06,Plan scientific or technical sampling and testing activities,Validation; Survey; Cost; Reagent
COGLATA3-12,"Measure, weigh and prepare compounds and solutions for laboratory use",Calculation; Calibration; Stock solution; Coat; Solvent; Granulation; Good clinical practice gcp; Measure ph
COGLATA3-19,Evaluate and provide scientific or technical assistance for learning activities,Technical assistance; People work; Scheme
COGLATA4-07,Manage scientific or technical business processes for workplace activities,Cost; Benefit analysis; Business process
COGLATA4-11,Plan and monitor small scale processing activities,Cleanliness; Calculation; Calibration; Storage; Process test; Cleaning; Data collection
PRODOD33,Co-ordinate and organise work operations,Craft; Storage; Welfare
COGLATA3-15,Assess your own scientific or technical knowledge and skills for workplace activities,
EUSWO48,Collect recyclable waste,Environmental legislation; Collection; Risk assessment
EUSWT09,Work with other people,Environmental legislation; Instruction; Risk assessment; Schedule
EUSWT10,"Minimise risks to life, property and the environment in electricity power utilities",Housekeeping; Environmental legislation; Instruction; Risk assessment
FSPAMFPI01,Provide an administrative service for mortgage or financial planning clients,Quotation; Illustration; Office administration; Financial planning
FSPAMFPI03,Contribute to reports for mortgage or financial planning clients,Prepare report; Financial planning; Report writing
FSPAMFPI04,Facilitate an administrative service for mortgage or financial planning clients,Quotation; Illustration; Office administration; Financial planning
FSPAMFPI06,Complete reports for mortgage or financial planning clients,Proactive; Financial planning; Report writing
FSPDC03,Authorise financial transactions using telecommunications,Financial transaction; Validation; Telecommunication; Articulate; Transaction
FSPDC01,Obtain and validate credit information to instigate debt collections,Bankruptcy; Articulate; Cost; Collection; Licence regulation
IMIMET08,Handle automotive refrigerants,Environmental regulation; Instruction; Hand tool
IMIVF07,Carry out light vehicle four wheel alignment,Cost; Tolerance; Hand tool
IMIVF32,Monitor and solve customer service problems,
IMPDY121KV1,Understand how to produce curds and whey,Process control; Recipe; Food; Yield
IMPFT103K,Principles of a balanced diet in food technology,Age; Food; Protein; Compliance; Dietary regime
IMPFT104K,Principles of food science in food technology,Food; Food science; Compliance; Risk assessment
IMPFT105K,Principles of human biology and food conversion,Food; Liver; Muscle; Compliance; Human biology
IMPFT111K,Understand how to control the sensory assessment of food and drink,Panel; Food; Recruit
IMPFT113K,Understand how to manage facilities for the sensory assessment of food and drink,Consumer research; Panel; Food
IMPFT114K,Principles of sensory testing in food technology,Food; Receptor; Visual perception
IMPFT115K,Principles of appearance and texture in food technology,Consultant; Food; Data collection
IMPFT117K,Principles of rheological food characteristics in food technology,Consultant; Food; Rheology; Data collection; Deformation
IMPFT119K,Principles of energy transfer in heating food technology,Consultant; Microwave oven; Thermal; Food; Energy efficiency
IMPFT120K,Principles of dehydration processes in food technology,Food; Economics; Hardening; Tunnel
IMPFT121K,Principles of energy transfer in cooling food technology,Control temperature; Consultant; Food; Coolant; Energy efficiency
IMPFT122K,Principles of the refrigeration cycle in food technology,Sustainability; Control temperature; Food; Evaporator
IMPFT133K,Principles of yeast biology for food and drink,Process control; Composition; Biology; Food; Storage
IMPFT137K,Principles of carbohydrate functionality in food science,Food; Food science; Storage
IMPFT138K,Principles of lipid functionality in food science,Food; Food science; Storage; Antioxidant
IMPFT141K,Principles of vitamin functionality in food science,Food; Food science; Storage
IMPFT144K,Principles of bulk size reduction of produce and food materials,Food; Dicing; Poultry; Prepare raw material; Sorting; Mill
IMPFT145K,Principles of homogenisation in food technology,Food; Colloid; Mill
IMPFT147K,Principles of centrifugation in food technology,Centrifugation; Food; Economics; Centrifugal force
IMPFT148K,Principles of blanching in food technology,Additive; Food preparation; Food; Cleaning
IMPFT150K,Principles of canning in food technology,Additive; Food; Sterility; Cleaning
IMPFT152K,Principles of bar coding in food and drink,Stock control; Food; Traceability
IMPFT157K,Principles of extrusion in food technology,Food; Protein; Denaturation; Fault
IMPFT159K,Principles of modified atmosphere and vacuum packaging in food technology,Food; Poultry; Packaging
LANEQ319,Carry out racecourse procedures,Collection; Aftercare; Welfare
LANTW31,Carry out aerial tree rigging,Arboriculture; Anchor; Instruction; Machinery; Workflow; Risk assessment; Spider
COGLATA2-12,Carry out simple scientific or technical tests using manual equipment,Cleanliness; Storage; Transport
IMPOM111,Allocate and monitor work in a food and drink business,Food; Compliance; Schedule
CFAM&LBB1,Manage risks to your organisation,Contingency plan; Management; Risk management; Vision; Risk appetite
CFAM_LDA3,Induct individuals into their roles,Promote; Training; Listen actively; Recruit
CFAM_LEA4,Manage budgets,Acting; Management; Promote; Vision
CFAM&LEB2,Obtain physical resources,Management; Shared resource; Cost; Cost benefit analysis; Forecasting; Energy supply
CFAM&LEC5,Use information to take effective decisions,Acting; Management; Promote
CFAM&LED2,Procure products and/or services,Promote; Cost; Listen actively
CFAM&LFA2,Implement operational plans,Promote; Risk management; Vision
CFAMAR16,Develop a marketing plan,Audit; Marketing; Target market
CFAMAR19,Develop new products and/or services,Trial; Marketing; Forecasting; Risk assessment
CFAMAR20,Develop and implement pricing policy,Pricing; Cost; Marketing
CFAMAR22,Manage the product and/or service portfolio,Management; Pricing; Sales; Marketing; Forecasting
CFAMAR25,Implement marketing campaigns or activities,Monitor activity; Marketing material; Marketing
CFAMAR27,Evaluate the performance of marketing activities,Cost; Marketing; Make decision
CFAMAR6,Implement and evaluate a customer insight strategy,Marketing; Storage; Compliance; Collection; Data collection
CFAMAR7,Develop and maintain a marketing information system,Information systems; Marketing; Storage; Collection
IMPOM109,Contribute to cross functional team work in a food and drink business,Change management; Food; Timeline
COSVR736,Establish dimensional control criteria,Survey; Global positioning systems; Calculation; Storage
ECIPMD12,Manage project activities and resources,Management; Configuration management; Schedule
EUSGNEM07,Apply professional ethics and values in the utility engineering work role,Network engineering; Environmental issue; Engineering activity
EUSMUMS3,Observe and apply professional codes and work to a high standard of conduct in multi-utilities,Acting; Management; Promote
EUSUIM05,Evaluate and report on proposals for installing and locating utility equipment and apparatus,Environmental legislation; Engineering activity; Installation; Interpret drawing; Schedule
FSPBCRM03,Engage with your team in progressing business development opportunities in a financial services environment,Empower; Initiative; Leadership style; Services sector
FSPISM03,Analyse the risk and return profile of asset types,Articulate; Benchmarking; Financial modelling
FSPISM07,Monitor and oversee investment operations and administration activities,Instruction; Leadership style; Investment management
FSPISM23,Establish the investment objectives of an individual or corporate client,Management; Data collection; Investment strategy; Time horizon
IMPLM101,Ensure your own actions reduce risks to health and safety in livestock markets,Instruction; Food; Livestock
IMPLM103,Ensure the health and welfare of livestock in livestock markets,Promote; Food; Animal welfare legislation; Welfare; Livestock
IMPLM107,Contribute to bio-security in livestock markets,Biosecurity; Food; Livestock
IMPLM113,Control the movement of livestock within the market,Promote; Instruction; Food; Welfare; Livestock
IMPLM117,Display livestock to potential buyers in livestock markets,Food; Marshal; Follow direction; Compliance; Auctioneer; Livestock
IMPLM119,Receive and communicate information in livestock markets,Food; Collection; Livestock
IMPLM121,Report on operational activities in livestock markets,Food; Collection; Transport; Livestock
IMPPM116S,Improve production performance in food manufacture,Food; Production management; Compliance; Supply chain
IMPPM117K,Understand how to improve production performance in food manufacture,Food; Production management; Compliance; Supply chain
IMPPM119K,Understand how to evaluate production targets in food manufacture,Food; Production management; Cost
IMPPM120S,Manage task handovers in food manufacture,Comment; Food; Production management; Production line; Compliance; Supply chain
IMPPM121K,Understand how to manage task handovers in food manufacture,Food; Production management; Production line; Compliance; Supply chain
IMPSD116,Monitor and maintain storage systems and procedures in food and drink operations,Food; Storage; Compliance; Written communication; Storage systems
IMPSD118,Control stock levels in food and drink operations,Food; Storage; Storage systems
IMPSD205,Carry out bulk filling in food and drink operations,Instruction; Food; Fault
IMPSD207,Move materials using mechanical transfer systems in food and drink operations,Lift truck; Instruction; Food; Storage; Compliance
IMPSD307,Monitor effectiveness of picking and packing operations in food and drink operations,Food; Instruct others; Compliance; Order processing
IMPSD312 ,Pack orders for despatch in food and drink operations,Avoid contamination; Instruction; Food; Storage; Compliance
IMPSD319,Monitor wrapping and labelling of products in food and drink operations,Stock control; Food; Fault
IMPSD324,Set up and maintain despatch and transport of products in food and drink operations,Food; Cost; Sort; Compliance; Instruct; Transport
IMPSD325,Monitor effectiveness of despatch and transport operations in food and drink operations,Food; Cost; Compliance; Transport
IMPSD327,Prepare goods and materials for despatch,Process specification; Instruction; Food; Assemble goods; Packaging
IMPSD405,Planning the route and timings for the delivery and collection of loads,Food; Bridge; Collection; Schedule
IMPSD503,Display livestock to potential buyers in food operations,Food; Sort; Poultry; Auctioneer; Livestock
IMPSD515,Contribute to bio-security in livestock holding in food operations,Food; Compliance; Livestock
IMPSD525,Prepare and monitor feed and water supplies to livestock in food operations,Instruction; Food; Maintain equipment; Compliance; Livestock
IMPSD527,Maintain lairage and ante mortem facilities in food operations,Feed livestock; Food; Welfare; Livestock
IMPSO401,Contribute to the effectiveness of food and drink retail operations,Instruction; Food; Retail operations; React; Schedule
IMPSO409,Display food and drink products in a retail environment,Maximum; Instruction; Food; Sales; Compliance; Cleaning; Food safety; Schedule
IMPSO411,Deliver reliable customer service,Food; Transaction; Compliance
IMPSO415,Evaluate takings practices and processes in a food and drink retail environment,Promote; Food; Sort; Transaction
IMPSO507,Provide a table/tray service,Promote; Food; Compliance
IMPSO511,Assemble and process products for food service,Recipe; Avoid contamination; Instruction; Food; Compliance
IMPSO701,Select and wash fresh produce,Recipe; Instruction; Food; Calculation; Cleaning; Food safety
IMPSO715,Cook batched meat,Food; Cooking; Food safety; Production schedule
LANAGM3,Plan and monitor the movement of livestock,Biosecurity; Age; Welfare; Move animal; Livestock
LANAGM7,Plan and monitor the dietary requirements of production livestock,Promote; Food; Protein; Cost; Cost benefit analysis; Environmental health and safety; Swift; Mono; Storage; Food safety; Nutrition; React; Transport; Livestock
LANCS10,Manage incidents and emergencies in the land-based sector,Contingency plan; Management; Instruction; Medical emergency; Emergency services
LANFIM14,Collect samples from live fish to monitor the condition of a fishery,Management; Age; Anaesthetic; Sample collection; Dispatch; Collect sample; Collection; Data collection; Fishery management
LANFIM17,Establish procedures to support the collection of fisheries data,Survey; Age; Water quality; Collect sample; Collection; Data collection
LANFIM18,"Collate, analyse and present fisheries population data",Parameter; Age; Record keeping; Archive
LANFIM20,Implement programmes for fish that control treatments and maintain their health,Promote; Monitor treated fish; Instruction; Calculation; Maintain equipment; Health programme
LANFIM3,Monitor the habitat of fisheries,Spawning; Survey; Food; Plant specie
LANFIM5,Provide advice and information to anglers on a fishery,Permit; Biosecurity; Social medium; Game
LANFIM6,Monitor and confirm compliance with the requirements of the fishery,Compliance; Social medium; Surveillance; Fishery management
LANFIM8,Establish procedures to control risks to activities on a fishery,
IMPBP310,Monitor organisational risk in a food and drink business,Contingency plan; Management; Production process; Food; Risk management
LANLP16,"Plan, establish and maintain livestock handling and restraint facilities/systems",Sales; Cost; Design and construction; Welfare; Livestock
PPL 4FB62,Manage the organisation of the food and beverage service area,Booking; Food; Capture; Reservation; Schedule
PPL 4GEN4,Manage rotas for your hospitality team,Pool; Manage staff; Schedule
PPL 4GEN7,Recruit and select hospitality staff,Pool; Trial; Recruiting; Recruit
PPL 4HK52 ,Manage guest security and privacy in accordance with legislative and organisational procedures,Housekeeping; Training; Timeline; Storage
PPL 4HK53,Manage room availability to maximise revenue potential,Management; Housekeeping; Booking; Reservation; Resourcing
PPL 4KM34,Manage the presentation and portion size of dishes in accordance with organisational standards,Training; Food; Cost; Marketing; Cooking; Newspaper
PPLHSL27,Contribute to the development of a wine list,Management; Promote; Cost
PPLHSL31,Lead meetings,Promote; Comment; Articulate; Listen actively
PPLROS02,Communicate and manage information in the rail industry,
PPLROS17,Maintain crowd control and security in a railway station,Instruction; Crowd control; Medical emergency; Instruct; Emergency services
PPLROS18,Interpret legal and organisational standards to ensure safe practices in the rail industry,
PPLROS20,Identify and implement protection arrangements in the rail industry,
PPLROS21,Respond to incidents in the rail industry,Root cause analysis; Present evidence; Interview people
PPLROS22,Carry out investigative interviews in the rail industry,
PROCWP102,Support the achievement of work objectives within process and manfacturing operations,Process specification; Sort; Organise information; Work efficiently
PROCWP104,Respond to process problems within process and manufacturing operations,Process equipment; Machinery; Warning sign
PROCWP116,Change process systems to meet requirements,Process equipment; Sort; Tolerance; Nozzle
PROCWP119,Adjust process equipment to meet operating requirements,Process equipment; Parameter; Initiative; Schedule
PROCWP132,Plan process activities,Service level objective; Risk assessment; Schedule; Estimating
PROCWP135,Provide operational support to users of process equipment,Process equipment; Instruction; Schedule
PROCWP137,Prepare and issue written procedures,Comment; Training; Trial; Cost; Schedule
PROCWP144,"Reduce risks to health, safety and the environment in a fibreboard operation",Environmental law; Instruction; First aid
PSS HM104,Review powers conferred by national legislation and local regulation,
PSS HM105,Report and investigate marine incidents,Record keeping; Compliance; Collection
PSS HM110,Manage conservancy,Acting; Management; Hydrographic survey; Survey; Capital expenditure; Installation; Inspection; Risk assessment
PSS HM112,Plan for and manage port emergencies and periods of disruption,Inspection; Business continuity; Civil
SCDLMCSB8,Lead and manage provision of care services that promotes positive behaviour,Acting; Management; Empower; Promote; Universal; History; Mental health; Inspection; Manage care; Need assessment; Empowerment
SCDLMCSC2,Develop risk management plans to support individual’s independence and daily living within their home,Empower; Promote; Risk management; Cognitive impairment; Manage care; Risk assessment; Personal care
SCDLMCSD1,"Lead and manage work for care services with networks, communities, other professionals and organisations",Acting; Management; Empower; Promote; Universal; History; Coordinate; Cost; Access network; Inspection; Manage care
SCDLMCSE11,Manage a project,Management; Promote; Manage care; Vision
SEMENGM5_03,Authorise specifications for engineering products or processes,Management; Intellectual property; Patent; Parameter; Cost; Information systems; Engineering activity; Installation; Schedule
SEMENGM5_06,Review and authorise research into engineering products or processes,Management; Engineering activity; Consumables; Behavioural problem
SEMENGM5_11,Authorise the transfer of control of engineering facilities,Trial; Information systems; Engineering activity; Installation; Compliance
SEMENGM5_14,Implement quality assurance processes,History; Environmental issue; Instruction; Cost; Engineering activity; Installation
SEMILSM12,Identify and assess factors affecting the achievement of objectives for the project,Management; Instruction; Engineering design; Alteration
SEMILSM18,Implement service agency options,Life support; Instruction; Cost; Cascade; Data collection; Alteration
SFHCMA1,Obtain information to inform the assessment of an individual,Case management; Management; Stratifying; Medical assistance; Mental health assessment; History; Self care; Capture; Informed consent; Sort; Proactive
SFJ EFSM20,Exchange information to ensure effective service delivery,Group dynamic; Chair meeting; Schedule
SFJ EFSM22,Develop information systems to support service delivery objectives,Management; Cost benefit analysis; Information systems; Schedule
SFJFRSWM1,Lead the work of teams and individuals to achieve their objectives,Management; Performance review; Schedule
SFJFRSWM9,Support the efficient use of resources,Management; Environmental policy; Schedule
SFJJA103,Use it to support effective road management,Management; Traffic management; Fault
SFJJA201,Monitor the road network using cctv systems and equipment,Camera; Storage; Fault
SFJJA204,Manage urban traffic by controlling traffic signals,Management; Fault; Repair
SFJJA401,Plan traffic management for future known events,Contingency plan; Management; Articulate; Traffic management; Transport
SFJJD101,Liaise with the media regarding operational traffic management,Management; Traffic management; Data management
SFJJE101,Contribute to enhancing safety and minimising risks when managing traffic flow,Active listening; Promote; Instruction
SFJPSG4.3.3,Manage political relationships with ministers and,Management; Promote; Politics; Listen actively; Welsh; Civil
SFJPSG5.1.4,Ensure the effective use of information required for evidence based,Promote; Maximum; Articulate; Organise information; Collection
SFJPSG6.1.4,Know the rules to follow when developing customer service,
SFTT1,Safeguard and promote the values and mission of the voluntary or community organisation,Promote; History; Compliance; Vision
SKAB240,"Negotiate, agree and develop a plan for an expedition",Management; Promote; Identify task; Timeline
SKAC257,Research the human and natural environment in which an expedition will take place,Promote; Parameter; Altitude; Transport
SKSDIRD1,Investigate the viability of ideas for productions,Intellectual property; Cost; Camera; Vision
SKSDIRD3,Seek financial resources for the production,Production process; Cost; Player; Vision; Schedule
SKSSP5,"Manage the selection and negotiation of contracts for the production team, crew, suppliers and others",Maximum; Cost; Time constraint; Script; Schedule
SKAB227,"Contribute to evaluating, developing and promoting services",Service provision; Market research; Promotional material; Language barrier; Scheme
FSPCFC13,Agree communication policy relating to the organisation’s approach to countering financial crime,Shareholder; Derivative; Information security; Cascading
FSPCFC2,Assess the impact of legal and regulatory requirements relating to your organisation on countering financial crime,Derivative; Business research; Scanning; Compliance; Resourcing
FSPCFC1,"Develop and gain support for your organisation’s culture, ethos and strategy for countering financial crime",Derivative; Vision; Risk appetite
FINRFSGF1,Provide information to customers in a financial services environment,
FSPBA09,Process documentation for bank or building society accounts,
FSPFAP02,Gather and validate financial information,Promote; Template; Ethical conduct; Financial statement
FSPFAP06,Implement financial solutions,Promote; Transaction; Inspection; Ethical conduct
FSPFAP07,Review and respond to the client’s changing financial needs and circumstances,Promote; Ethical conduct; Schedule
FSPIO05,Arrange the settlement of investment transactions,Settlement; Instruction; Transaction; Acquisition; Compliance
FSPIO10,Assess and use financial information to reconcile stakeholder investment accounts,
FSPITS02,Contribute to evaluations of potential insurance work in line with organisational objectives,Cost; Cost benefit analysis; Insurance market
FSPITS04,Determine and evaluate clients’ insurance requirements for a tailored policy,Acting; Survey; Delegated authority; Insurance market; Scheme
FSPITS12,Ensure effective recovery in complex insurance claims,Management; Subrogation; Cost; Insurance market
FSPITS13,Evaluate and decide whether to underwrite complex new risks,History; Delegated authority; Market trend; Statistical method; Insurance market
FSPLM02,"Collate, prepare and monitor information and data from a variety of sources",Workflow; Support colleague; Collection; Spreadsheet; Insurance market
FSPLM03,Process information and update records in relation to contracts of insurance in a financial services environment,Statistic; Settlement; Insurance market
FSPLM06,Monitor the workflow in a financial services environment,Cost; Workflow; Proactive; Insurance market
FSPLM14,Negotiate quotations and insurance cover on behalf of clients,Quotation; History; Insurance market; Schedule
FSPLM15,Collate and analyse statistical insurance data,Prepare report; Support colleague; Spreadsheet; Insurance market
FINPFSGFS02,Deal with requests to cancel financial services products or services,
FINPFSGTC04,Deal with complex claims for losses not covered by the takaful contract,Settlement; Prospect; Loss mitigation; Personal injury
FINPFSGTI10,Evaluate takaful products and services,
FINPFSGTU21,Underwrite complex new takaful business,History; Delegated authority; Market trend
FINPFSGTU22,Prepare takaful contract documentation for complex new business,Central; Delegated authority; Alteration
FSPSFR02,Establish the customer’s key savings for retirement needs,Prospect; Retirement planning; Paraphrasing; Listening; Tax credit; Body language
FSPSFR04,Identify and agree priorities and options for the customer to enable informed pension choices,Prospect; Retirement planning; Listening; Tax credit
FSPSFR05,Review and present information to provide advice on savings for retirement,Prospect; Retirement planning; Tax credit; Health and safety compliance
FSPSFR06,Refer the customer to further information or advice on savings for retirement,Prospect; Retirement planning; Cost; Tax credit
FINPST7,Integrity and care – act with care and apply personal strengths and skills to the role,Corporate governance; Attend meeting; Scheme
FSPRMFS11,Evaluate the effectiveness of risk management controls for a financial services organisation,Management; Cost; Risk management
FSPRMFS14,Report risk management information to financial services stakeholders,Timeline; Risk management; Compliance
FSPRMFS3,Establish risk protocols for a financial services organisation,Management; Promote; Risk management; Vision
FSPRMFS8,Facilitate risk mitigation planning for a financial services organisation,Management; Risk management; Risk appetite
FSPSDNR01,Maintain personal and professional development in securities or derivatives non-retail market,Derivative; Financial instrument; Compliance
FSPSDNR05,Provide a service relevant to the securities or derivatives,Derivative; Tolerance; Schedule
FSPSDR02,Contact the retail client in securities or derivatives,Prospective client; Derivative; Financial instrument
FSPSDR05,Undertake analysis and provide advice for the retail client in secuities or derivatives,Derivative; Financial instrument; Transaction; Tolerance
FSPCFC8,Identify potential financial crime within your organisation,Management; Derivative; Typology; Transaction; Law enforcement; Surveillance
SKSPA10,Maintain effective performance,Permit; Training; Cost
SKSPA14,Contribute to controlling production expenditure,Management; Production process; Cost; Manage budget; Record keeping; Financial control
SKSPA4,Assist in administering the floats and petty cash of a production,Voucher; Petty cash; Present report
FSPAML13,Advise and guide staff in your organisation on anti-money laundering and countering terrorist financing;advise and guide staff in your organisation on anti-money laundering and countering terrorist financing,Anti money laundering; Due diligence; Prioritise request
SFSSLP6,Maintain the security of property and premises through observation,Instruction; Loss prevention; Fault
FSPAML18,Design and monitor an internal reporting system for suspicious transactions and activities  ;design and monitor an internal reporting system for suspicious transactions and activities,Suspicious activity report; Proof; Anti money laundering; Due diligence; Transaction
FSPAML3,Gather and communicate  information about anti-money laundering and countering terrorist financing requirements in your organisation ;gather and communicate information about anti-money laundering and countering terrorist financing requirements in your organisation,Management; Anti money laundering; Typology; Due diligence
FSPAML4,Identify the implications of anti-money laundering and countering terrorist financing measures for the business conducted by your organisation;identify the implications of anti-money laundering and countering terrorist financing measures for the business conducted by your organisation,Anti money laundering; Due diligence; Compliance
FSPBA08,Process the transfer of foreign currency,Management; Forward contract; Advise customer; Instruction; Transaction; Foreign exchange
FSPCP02,Assess and use financial information to reconcile accounts,
FSPCP05,Operate payment by instalments,Instruction; Transaction; Compliance
FSPFC06,Monitor and review financing and credit facilities,Credit facility; Warning sign; Schedule
FSPFC08,Investigate arrears and recover debts,Management; Written communication; Schedule
FSPFCC01,Review and develop yourself to improve and maintain workplace competence in a financial services environment,
FSPFSSP01,Promote the organisation’s additional financial services products and services,Promote; Sales; Identify opportunity
FINPFSGTU24,Process complex takaful contract renewals,History; Delegated authority; Schedule
FSPIO01,Present investment market information to stakeholders,Promote; Unit trust; Transaction; Compliance; Yield
FSPIO04,Maintain the custody of assets on behalf of the investor,Instruction; Sales; Transaction; Compliance; Accrual
FSPIO11,Process corporate actions on behalf of investors,Instruction; Implement instruction; Compliance
FSPIO13,Deal with complaints relating to financial services products or services,
CCSID2,Identify organisational aims relevant to the industrial design project,Target market; Industrial design; Time horizon
CCSID3,Identify technological and operational capabilities available to the industrial design project,Sustainability; Industrial design; Adoption
PROSS02,Complete standard cut-outs in work surfaces,Template; Instruction; Fault
LANFE17,Control the deployment of fencing materials and components,Installation; Storage; Risk assessment; Schedule
COSVR120,Carry out site measurements and evaluations,Sustainability; Instruction; Storage; Work efficiently; Schedule
COSVR210,Develop and maintain good working relationships,Promote; Comment; Sketch
COSVR218,Co-ordinate and confirm the dimensional requirements of the work,Craft; Calibration; Tolerance
COSVR250,Erect and dismantle access/working platforms,Sustainability; Instruction; Storage; Risk assessment; Hand tool; Work efficiently
COSVR258,Equip scaffolds with safeguards and environmental protection,Sustainability; Anchor; Instruction; Environmental protection; Storage; Sketch; Risk assessment; Fall protection; Hand tool; Work efficiently; Schedule
COSVR406,Erect and dismantle overhead scaffolds,Sustainability; Bridging; Anchor; Instruction; Storage; Sketch; Risk assessment; Fall protection; Hand tool; Work efficiently; Schedule
COSVR476,Deal with product enquiries,
COSVR575,Enable people to learn and benefit from your experience,Craft; Instructing; Mentoring
COSVR580,Advise on the selection and modification of a design proposal,Consultant; Craft; Cost
COSVR643,"Move, handle or store resources",Sustainability; Storage; Packaging; Ventilation; Work efficiently
COSVR703,Co-ordinate work control,Survey; Machinery; Waste management; Risk assessment
COSVR706,Maintain supplies of materials to meet project requirements,Sustainability; Stock control; Environmental issue; Calculation; Identify opportunity; Storage; Welfare; Schedule
COSVR87,Prepare resources for mastic asphalt,Asphalt plant; Instruction; Layer; Storage; Sketch; Hand tool; Work efficiently
COSVR88,Assist application of mastic asphalt,Instruction; Installation; Storage; Sketch; Hand tool; Work efficiently
COSVX06,Monitor and record tests,Site inspection; Compliance; Risk assessment
COSVX10,Develop and maintain professional working relationships,Site inspection; Consultant; Articulate; Synthesis
PROSS03,Create edge build ups in standard solid surfaces,Adhesive; Instruction; Sand; Remove excess glue; Smooth; Fault; Thermoforming
ECIDD03,Complete engineering designs,Library; Cost; Database; Sort; Tolerance; Engineering design
EUSNCO107,"Working under supervision, join materials by manually controlled thermal processes",Socket; Thermal; Instruction; Consumables
EUSNCO108W,"Working under supervision, assemble components to meet specifications",Drilling; Welding; Instruction; Compression
EUSNCO111,"Working under supervision, join materials by machine controlled thermal processes",Thermal; Instruction; Consumables; Tolerance
EUSNCO302,Carry out operational planning for network construction operations,Cost; Water quality; Schedule
EUSNCO323,Agree a course of action to deal with network construction (water) related issues,Contingency plan; Instruction; Water quality; Installation
GQAFSB1,Maintain health and safety in the workplace,Medical assistance; Instruction; Machinery; Consumables; Installation; Battery; Risk assessment; Emergency services
PROSS23,Install solid surface,Maximum; Instruction; Installation; Tolerance; Fault
PROSS16,Install structural supports,Thermal; Instruction; Tolerance; Silicone; Fault
MPQPC10,Conduct product quality assurance in precast and prestressed concrete manufacturing operations,Instruction; Information systems; Inspection; First aid; Fault
MPQPC13,Receive and handle raw materials for precast or prestressed concrete manufacturing operations,Information systems; First aid; Storage; Unloading; Manufacturing process
MPQPC14,Apply secondary process in precast concrete operations,Information systems; Consumables; Clean equipment; First aid; Compliance
MPQPC15,Pack precast and prestressed concrete products for storage or delivery,Information systems; First aid; Storage; Packaging
LANFE16,Organise the site for the installation of fencing,Traffic management; Installation; Risk assessment; Schedule
PROSS29,Prepare locations for installation,Instruction; Installation; Storage; Fault
PROSS08,Produce templates for solid surfaces,Template; Calculation; Installation; Tolerance; Transport; Templating
PROEW03,Work effectively in a wood-related commercial environment,Sustainability; Management; Scope statement; Cost
PROEW04,Select and pick materials,Training; Information systems; Forklift truck
PROEW07,Apply end treatments to wood and timber,Cut wood; Information systems; Fault
PROEW09,"Move, handle and store resources",Information systems; Consumables; Storage
PROFEN2,Plan resources for use in fenestration installation and surveying,Information systems; Installation; Schedule
PROFEN21,Prepare to install fire-resistant glazing,Glazing; Installation; Storage
PROFEN24,Install fire-resistant glazing,Glazing; Medical assistance; Instruction; Installation; Storage; Risk assessment; Emergency services
PROFEN25,Use fire-resistant glazing in timber screens and doors,Glazing; Instruction; Installation; Aperture
PROFEN26,Install fire-resistant glazing in metal door and frame systems,Technical drawing; Glazing; Instruction; Installation
PROFEN4,Remove bay windows and prepare apertures,Settlement; Proof; Instruction; Installation; Damp; Aperture
PROFEN5,Shape products and ancillaries for installation,Consumables; Installation; Select type
PROFEN6,Prepare and position windows and door sets ready for installation,Proof; Instruction; Installation; Drainage; Aperture
PROFEN7,Identify fenestration installation requirements,Survey; Installation; Tolerance
PROFIS10,"Post windows, doors, conservatories or curtain walling installation",Instruction; Information systems; Installation; Inspection
PROFIS13,Maintain health and safety within the fenestration surveying,Survey; Unload; Training; Instruction; Installation; Risk assessment
PROFIS16,Identify fenestration installation requirements,Survey; Installation; Tolerance
PROFIS23,Installation of metal door and frame systems in fire-resistant glazing,Glazing; Instruction; Installation
PROFIS28,Remove bay windows,Settlement; Permit; Training; Installation; Aperture
PROFIS5,Remove existing windows and doors and prepare apertures,Permit; Proof; Training; Installation; Damp; Aperture
PROFIS7,Prepare and position windows and door sets ready for installation,Proof; Installation; Drainage; Aperture
PROGEN12,Diagnose and rectify technical problems,Information systems; Installation; Fault
PROPBPO11,Apply company procedures to resolve problems when performing building products operations,Brainstorming; Management; Cost; Information systems; Risk assessment
PROPBPO12,Contribute to the prevention of errors and mistakes when performing building products operations,Management; Cellular manufacturing; Trial; Cost; Inspection; Proofing
PROPBPO5,Contribute to achieving product quality when performing building products operations,Production process; Information systems; Inspection
PROPBPO6,Apply company organisation techniques when performing building products operations,Score; Audit; Six sigma; Storage
PROPCO1,Maintain health and safety within the precast concrete operations working environment,Medical assistance; Instruction; Information systems; Emergency services
PROPCO10,Check the quality of products in precast concrete operations,Production process; Information systems; Inspection
