,Avg group similarity,NOS 1,NOS 2
Pair 1213,0.79,"[sfjea2] ""Assess offenders for risk factors and levels of risk associated with their behaviour"" (""sfjea2.pdf"", Current, Original)","[sfj ea2] ""Assess offenders for risk factors and levels of risk associated with their behaviour"" (""sfjea2l.pdf"", Current, Original)"
Pair 1214,0.79,"[cosvr299] ""Plant or machinery operator maintenance legacy"" (""cosvr299l.pdf"", Legacy, Original)","[promg34] ""Mining shaft routine inspection and maintenance"" (""promg34.pdf"", Current, Original)"
Pair 1215,0.79,"[sfhoh16 ] ""Design and manufacture complete removable prostheses"" (""sfhoh16.pdf"", Current, Original)","[sfhoh17 ] ""Design and manufacture partial removable prostheses"" (""sfhoh17.pdf"", Current, Original)"
Pair 1216,0.79,"[eciccpss02] ""Move structural steel loads"" (""eciccpss02.pdf"", Current, Original)","[eciml02] ""Moving loads"" (""eciml02.pdf"", Current, Original)"
Pair 1217,0.79,"[semae3039] ""Drilling and finishing holes in composite and/or metallic aircraft structures or components"" (""semae3039.pdf"", Current, Original)","[semaer2_13] ""Drilling and finishing holes in aircraft components"" (""semaer2_13.pdf"", Current, Original)"
Pair 1218,0.79,"[promt8] ""Confirm work activities and resources for the work"" (""promt8.pdf"", Current, Imported)","[sksvr209] ""[confirm work activities and resources for the work]"" (""sksvr209.pdf"", Current, Original)"
Pair 1219,0.79,"[semae3159] ""Carrying out tests on aircraft power transmission systems"" (""semae3159.pdf"", Current, Original)","[semae3160] ""Carrying out checks and tests on replaced airframe major assemblies"" (""semae3160.pdf"", Current, Original)"
Pair 1220,0.79,"[sfjba12] ""Address problems identified with community safety and social inclusion"" (""sfjba12.pdf"", Current, Original)","[sfjcjba12] ""Address problems identified with community safety and social inclusion"" (""sfjcjba12.pdf"", Current, Original)"
Pair 1221,0.79,"[eusgnc003l] ""Establish and maintain effective working relationships in complex situations for gas network construction legacy"" (""eusgnc003l.pdf"", Legacy, Original)","[eusmunc03l] ""Establish and maintain effective working relationships in utilities network construction legacy"" (""eusmunc03.pdf"", Legacy, Original)"
Pair 1222,0.79,"[semae3360] ""Developing working relationships in a continuing airworthiness environment"" (""semae3360.pdf"", Current, Original)","[semcaw202] ""Work with other people in a continuing airworthiness environment"" (""semcaw202.pdf"", Current, Original)"
Pair 1223,0.79,"[asto05] ""Use technical information systems and information technology"" (""asto05.pdf"", Current, Original)","[astspm3o05] ""Use technical information systems and information technology within a surveying environment"" (""astspm3o05.pdf"", Current, Original)"
Pair 1224,0.79,"[sfhdt14] ""Design and manufacture metallic substructures and metallic bridge components"" (""sfhdt14.pdf"", Current, Original)","[sfhdt24] ""Design and manufacture prostheses using precision attachments "" (""sfhdt24.pdf"", Current, Original)"
Pair 1225,0.79,"[cogpem02] ""Hand over process plant and equipment"" (""cogpem2.pdf"", Current, Empty)","[cogpem26] ""Hand over process engineering plant and equipment"" (""cogpem26.pdf"", Current, Tailored)"
Pair 1226,0.79,"[fspcp04] ""Prepare and pursue statements of account for financial products and services"" (""fspcp04.pdf"", Current, Original)","[fspcp04] ""Prepare and pursue statements of account for financial products and services legacy"" (""fspcp04l.pdf"", Legacy, Original)"
Pair 1227,0.79,"[pplmcr02] ""Work with colleagues to encourage innovation in a multi-channel retail business"" (""pplmcr02.pdf"", Current, Original)","[ssr.mcr02] ""Work with colleagues to encourage innovation in a multi-channel retail business legacy"" (""ssrmcr02l.pdf"", Legacy, Original)"
Pair 1228,0.79,"[fspcp02] ""Assess and use financial information to reconcile accounts"" (""fspcp02.pdf"", Current, Original)","[fspcp02] ""Assess and use financial information to reconcile accounts legacy"" (""fspcp02l.pdf"", Legacy, Original)"
Pair 1229,0.79,"[fspio02] ""Establish and maintain investor details and records"" (""fspio02.pdf"", Current, Original)","[fspsi02] ""Establish and maintain investor details and records legacy"" (""fspio02l.pdf"", Legacy, Original)"
Pair 1230,0.79,"[cogn205] ""Liaise with stakeholders on nuclear activities"" (""cogn205.pdf"", Current, Original)","[cogsc2] ""Liaise with stakeholders directly involved with the safety case"" (""cogsc2.pdf"", Current, Original)"
Pair 1231,0.79,"[ppl.mcr15] ""Use in-store online facilities to achieve retail sales"" (""ppl.mcr15.pdf"", Current, Original)","[pplmcr15] ""Use in-store online facilities to achieve retail sales"" (""pplmcr15.pdf"", Current, Original)"
Pair 1232,0.79,"[asto19] ""Contribute to the appraisal and valuation of property"" (""asto19.pdf"", Current, Original)","[astspm3o19] ""Contribute to the appraisal and valuation of property within a surveying environment"" (""astspm3o19.pdf"", Current, Original)"
Pair 1233,0.785,"[sfjccaf1] ""Raise awareness of  risks, potential impacts and arrangements in place for emergencies"" (""sfjccaf1.pdf"", Current, Original)","[sfjccaf1] ""Raise awareness of the risk, potential impact and arrangements in place for emergencies"" (""sfjccaf1l.pdf"", Current, Original)"
Pair 1234,0.785,"[astll10] ""Implement check-out procedures and dispersals in a letting environment"" (""astll10.pdf"", Current, Tailored)","[astrl21 ] ""Implement check-out procedures and dispersals in a letting environment   "" (""astrl21.pdf"", Current, Original)"
Pair 1235,0.785,"[euslpg15] ""Service & maintain complex systems and components"" (""euslpg15.pdf"", Current, Original)","[euslpg6] ""Service and maintain gas systems and components"" (""euslpg6.pdf"", Current, Original)"
Pair 1236,0.785,"[langa3] ""Support participants on a shoot day"" (""langa3.pdf"", Current, Original)","[langa36v1l] ""Support participants on a shoot day(legacy)"" (""langa36v1l.pdf"", Legacy, Original)"
Pair 1237,0.785,"[skagh8 (2)] ""Shampoo, condition and treat the hair and scalp gh8"" (""skagh8 (2).pdf"", Current, Original)","[skagh8] ""Shampoo, condition and treat the hair and scalp"" (""skagh8.pdf"", Current, Original)"
Pair 1238,0.785,"[semme2065] ""Marking out marine sheet metalwork"" (""semme2065.pdf"", Current, Original)","[semme3152] ""Marking out for fabrication and assembly of marine sheet metalwork"" (""semme3152.pdf"", Current, Original)"
Pair 1239,0.785,"[prousf35] ""Produce scatter, box and bolster cushions"" (""prousf35.pdf"", Current, Original)","[prousf40] ""Produce table treatments  "" (""prousf40.pdf"", Current, Original)"
Pair 1240,0.785,"[fspgi13] ""Process straightforward mid-term insurance amendments legacy"" (""fspgi13l.pdf"", Legacy, Original)","[finpfsgti13] ""Process straightforward mid-term takaful contract amendments"" (""fsppfsgti13.pdf"", Current, Original)"
Pair 1241,0.785,"[skaal3] ""Lead and conclude activity sessions"" (""skaal3.pdf"", Current, Original)","[skaal4 ] ""Review activity sessions"" (""skaal4 .pdf"", Current, Original)"
Pair 1242,0.785,"[eusepus039] ""Phasing out of cables in the electricity power utilities environment legacy"" (""eusepus039l.pdf"", Current, Original)","[eusepus040] ""Fibre optic fusion splicing and termination in the electricity power utilities environment"" (""eusepus040l.pdf"", Current, Original)"
Pair 1243,0.785,"[semae3231] ""Producing aircraft composite mouldings using pultrusion techniques"" (""semae3231.pdf"", Current, Original)","[semcomp2-12] ""Using pultrusion techniques to produce composite mouldings"" (""semcomp212.pdf"", Current, Original)"
Pair 1244,0.785,"[eusucco7] ""Contribute to developing and maintaining positive caller relationships in the utilities sector"" (""eusucco7.pdf"", Current, Original)","[sfjnhh4] ""Contribute to developing and maintaining positive caller relationships"" (""sfjnhh4.pdf"", Current, Original)"
Pair 1245,0.785,"[imiarbg4] ""Use of hand tools and equipment in motor vehicle engineering"" (""imiarbg4l.pdf"", Current, Original)","[semms04] ""Use of hand tools and equipment in motorsport engineering"" (""semms04.pdf"", Current, Tailored)"
Pair 1246,0.78,"[sumees2] ""Apply environmental legislation, working practices and principles (electrical and electronic servicing) - legacy"" (""sumees2l.pdf"", Legacy, Original)","[sumets2] ""Apply environmental legislation, working practices and principles (electrotechnical services) - legacy"" (""sumets2l.pdf"", Legacy, Original)"
Pair 1247,0.78,"[gqafsb6] ""Prepare and use access equipment to work at heights"" (""gqafsb6.pdf"", Current, Original)","[profsb06] ""Prepare and use access equipment to work at heights legacy"" (""profsb06l.pdf"", Legacy, Original)"
Pair 1248,0.78,"[imimet04] ""Remove, renew and refit electromechanical and electronic components "" (""imimet04.pdf"", Current, Original)","[imimet07] ""Remove, renew and refit trim directly linked to safety systems "" (""imimet07.pdf"", Current, Original)"
Pair 1249,0.78,"[sfjba4] ""Take action to raise awareness of and promote community safety and social inclusion"" (""sfjba4.pdf"", Current, Original)","[sfjcjba4] ""Raise awareness to promote community safety and social inclusion"" (""sfjcjba4l.pdf"", Current, Original)"
Pair 1250,0.78,"[sflbw1] ""Manage the authorisation, guarantees and approval for excise warehouse premises"" (""sflbw1.pdf"", Current, Original)","[sflbw1] ""Manage the authorisation, guarantees and approval for excise warehouse premises legacy"" (""sflbw1l.pdf"", Legacy, Original)"
Pair 1251,0.78,"[prowtm05] ""Advise customers on selection and application of timber and timber based products"" (""prowtm05.pdf"", Current, Original)","[prowtm05] ""Advise customers on the selection and application of timber and timber based products legacy"" (""prowtm05l.pdf"", Legacy, Original)"
Pair 1252,0.78,"[lantw31] ""Carry out aerial tree rigging"" (""lantw31.pdf"", Current, Original)","[lantw31] ""Carry out aerial tree rigging legacy"" (""lantw31l.pdf"", Legacy, Original)"
Pair 1253,0.78,"[sfsmfp3] ""Design systems for mechanical fire protection"" (""sfsmfp3.pdf"", Current, Original)","[sfs mfp 3l] ""Design solutions for mechanical fire protection legacy"" (""sfsmfp3l.pdf"", Legacy, Original)"
Pair 1254,0.78,"[astpar1.2.7] ""Monitor and evaluate parking strategy and objectives"" (""astpar1.2.7.pdf"", Current, Original)","[sfjhf122] ""Monitor and evaluate the quality of mentoring/befriending services"" (""sfjhf122.pdf"", Current, Original)"
Pair 1255,0.78,"[prodpp300] ""Control digital printing machines"" (""prodpp300l.pdf"", Current, Original)","[prompr29] ""Control digital colour printing machines"" (""prompr29.pdf"", Current, Original)"
Pair 1256,0.78,"[impbw213] ""Carry out dissolved oxygen quality assurance in brewing"" (""carry-out-dissolved-oxygen-quality-assurance-in-brewing-impbw213.pdf"", Current, Original)","[impbw211] ""Carry out quality control for packaging in brewing"" (""carry-out-quality-control-for-packaging-in-brewing-impbw211.pdf"", Current, Original)"
Pair 1257,0.78,"[propsc203] ""Assemble materials (separate operation) when producing surface coatings"" (""propsc203.pdf"", Current, Original)","[propsc204] ""Assemble materials (integrated) when producing surface coatings"" (""propsc204.pdf"", Current, Original)"
Pair 1258,0.78,"[semme3213] ""Servicing engine/propulsion systems in yachts and boats"" (""semme3213.pdf"", Current, Original)","[semme3214] ""Servicing ancillary systems and equipment in yachts and boats"" (""semme3214.pdf"", Current, Original)"
Pair 1259,0.78,"[semets3-44] ""Planning engineering activities"" (""semets344.pdf"", Current, Original)","[semts2-16] ""Assisting in the planning of engineering activities"" (""semts216.pdf"", Current, Original)"
Pair 1260,0.78,"[semmme2-30] ""Assembling pipework components to mechanical equipment"" (""semmme230.pdf"", Current, Original)","[semmme3-064] ""Fitting pipework systems to mechanical assemblies"" (""semmme3064.pdf"", Current, Original)"
Pair 1261,0.78,"[semme3013] ""Setting to work, testing and trialling marine electrical power generation and distribution equipment and systems"" (""semme3013.pdf"", Current, Original)","[semme3019] ""Setting to work, testing and trialling marine electrical rotating machines and domestic equipment"" (""semme3019.pdf"", Current, Original)"
Pair 1262,0.78,"[cogesa11.2] ""Determine the existence of a suitable disposal procedure for explosive substances and/or articles"" (""cogesa11.2.pdf"", Current, Original)","[cogesa3.2] ""Determine the existence of a suitable trial or test procedure for explosive substances and/or articles"" (""cogesa3.2.pdf"", Current, Original)"
Pair 1263,0.78,"[cosvr28 ] ""Produce cad setting out details"" (""cosvr28.pdf"", Legacy, Original)","[sksvr28] ""Produce cad setting out details"" (""sksvr28.pdf"", Current, Original)"
Pair 1264,0.78,"[semme2017] ""Assisting in the testing of marine pipework systems"" (""semme2017.pdf"", Current, Original)","[semme3045] ""Preparing and testing marine pipework systems"" (""semme3045.pdf"", Current, Original)"
Pair 1265,0.78,"[cfas5.5l] ""Develop your personal networks - legacy"" (""cfas5.5l.pdf"", Legacy, Original)","[sfjpsg4.3.2] ""Develop your personal networks"" (""sfjpsg4.3.2.pdf"", Current, Imported)"
Pair 1266,0.78,"[sksanim12] ""Create 2d animation "" (""create-2d-animation--sksanim12.pdf"", Current, Original)","[sksanim12] ""Create 2d animation"" (""sksanim12.pdf"", Current, Original)"
Pair 1267,0.775,"[semae3229] ""Producing aircraft composite mouldings using hot press moulding techniques"" (""semae3229.pdf"", Current, Original)","[semcomp2-10] ""Using hot press moulding techniques to produce composite mouldings"" (""semcomp210.pdf"", Current, Original)"
Pair 1268,0.775,"[promp259] ""Maintain screen printing machines   "" (""promp259.pdf"", Current, Original)","[promp275] ""Maintain automatic/semi-automatic multi-colour over-printing machinery  "" (""promp275.pdf"", Current, Original)"
Pair 1269,0.775,"[promg22] ""Erect and dismantle plant in mines "" (""promg22.pdf"", Current, Original)","[promg23] ""Operate guidance systems to form holes    "" (""promg23.pdf"", Current, Imported)"
Pair 1270,0.775,"[prodso7] ""Fixed sawing of dimension stone "" (""prodso7.pdf"", Current, Original)","[prodso9] ""Cnc and stone lathe operations"" (""prodso9.pdf"", Current, Original)"
Pair 1271,0.775,"[euslpg21] ""Decommission gas storage and supply systems"" (""euslpg21.pdf"", Current, Original)","[euslpg5b] ""Decommission systems and components"" (""euslpg5b.pdf"", Current, Original)"
Pair 1272,0.775,"[pplmcr16] ""Advise and support customers in-store on the use of online retail facilities"" (""pplmcr16.pdf"", Current, Original)","[ppltt53] ""Advise and coach customers on the use of online facilities"" (""ppltt53.pdf"", Current, Tailored)"
Pair 1273,0.775,"[pplmcr05] ""Provide support to individual customers of a trading website"" (""pplmcr05.pdf"", Current, Original)","[ssr.mcr05] ""Provide support to individual customers of a trading website legacy"" (""ssrmcr05l.pdf"", Legacy, Original)"
Pair 1274,0.775,"[ppl2hk1] ""Clean and service a range of areas"" (""ppl2hk1.pdf"", Current, Original)","[ppl2hk1] ""Clean and service a range of areas"" (""ppl2hk1l.pdf"", Legacy, Original)"
Pair 1275,0.775,"[fspba3] ""Authorise financial transactions using telecommunications legacy"" (""fspba03l.pdf"", Legacy, Original)","[fspdc03] ""Authorise financial transactions using telecommunications"" (""fspdc03.pdf"", Current, Original)"
Pair 1276,0.775,"[ppl.e403] ""Analyse and present reports on sales, stock and profit performance"" (""ppl.e403.pdf"", Current, Original)","[ssr.e403] ""Analyse and present reports on sales, stock and profit performance legacy"" (""ssre403l.pdf"", Legacy, Original)"
Pair 1277,0.775,"[lsi yw05] ""Enable young people to use their learning to enhance their future development  "" (""lsi yw05.pdf"", Current, Original)","[lsiyw1.1.1 v2] ""Enable young people to use their learning to enhance their future development"" (""lsiyw1.1.1 v2.pdf"", Current, Original)"
Pair 1278,0.775,"[lanleo4] ""Apply core land-based engineering principles: mechanical principles"" (""lanleo4.pdf"", Current, Original)","[lanleo4] ""Core land-based engineering principles – mechanical principles; legacy"" (""lanleo4l.pdf"", Legacy, Original)"
Pair 1279,0.775,"[skagh20 (2)] ""Creatively dress long hair gh20"" (""skagh20 (2).pdf"", Current, Original)","[skagh20] ""Creatively dress long hair "" (""skagh20.pdf"", Current, Original)"
Pair 1280,0.775,"[impqi224sv1] ""Manage organisational change for achieving excellence in a food environment legacy"" (""impqi224sv1l.pdf"", Legacy, Original)","[impqi307sv1] ""Direct the implementation of an achieving excellence strategy in a food environment legacy"" (""impqi307sv1l.pdf"", Legacy, Original)"
Pair 1281,0.775,"[fspgi24] ""Process complex insurance renewals legacy"" (""fspgi24l.pdf"", Legacy, Original)","[finpfsgtu24] ""Process complex takaful contract renewals"" (""fsppfsgtu24.pdf"", Current, Original)"
Pair 1282,0.775,"[semmme3-124] ""Grinding spring ends by hand"" (""semmme3124.pdf"", Current, Original)","[semmme3-131] ""Setting automatic spring end grinding machines for production"" (""semmme3131.pdf"", Current, Original)"
Pair 1283,0.775,"[impcb114] ""Oven bake dough products in bakery operations"" (""impcb114.pdf"", Current, Original)","[impcb206] ""Oven bake flour confectionery in bakery operations"" (""impcb206.pdf"", Current, Original)"
Pair 1284,0.775,"[ccsmp40] ""Track royalties and produce invoices within a music publishing context"" (""ccsmp40.pdf"", Current, Original)","[ccsrcs2] ""Track royalties and produce invoices within a music business context"" (""ccsrcs2.pdf"", Current, Original)"
Pair 1285,0.775,"[sembit2-13] ""Contributing to the application of six sigma methodology to a project"" (""sembit213.pdf"", Current, Original)","[sembit3-17] ""Applying six sigma methodology to a project"" (""sembit317.pdf"", Current, Original)"
Pair 1286,0.775,"[semaut3028] ""Assembling composite vehicle components"" (""semaut3028.pdf"", Current, Original)","[semcomp2-17] ""Carrying out composite assembly operations"" (""semcomp217.pdf"", Current, Original)"
Pair 1287,0.77,"[ccsmb14] ""Assist with budget setting within a record label context"" (""ccsmb14.pdf"", Current, Original)","[ccsmp43] ""Assist with budget setting and control within a music publishing business"" (""ccsmp43.pdf"", Current, Original)"
Pair 1288,0.77,"[cogpoly39] ""Meet safety, health and environmental requirements in the workplace for the polymer industry"" (""cogpoly39.pdf"", Current, Original)","[cogppro39] ""Unit 39: meet safety, health and environmental requirements in the workplace within polymer processing and related operations"" (""cogppro39.pdf"", Current, Original)"
Pair 1289,0.77,"[lantw7] ""Manage tree establishment and maintenance operations"" (""lantw7.pdf"", Current, Original)","[lantw7] ""Manage tree establishment and maintenance operations legacy"" (""lantw7l.pdf"", Legacy, Original)"
Pair 1290,0.77,"[semfwe2-14] ""Joining rails using the aluminothermic welding process"" (""semfwe214.pdf"", Current, Original)","[semfwe3-56] ""Welding rails using the aluminothermic welding process"" (""semfwe356.pdf"", Current, Original)"
Pair 1291,0.77,"[sfhchac1] ""Evaluate and process requests for acupuncture"" (""sfhchac1.pdf"", Current, Original)","[sfhchac3] ""Assess the client for acupuncture"" (""sfhchac3.pdf"", Current, Original)"
Pair 1292,0.77,"[astrbm02] ""Set up management agreements for property"" (""astrbm02.pdf"", Current, Original)","[astrbm2] ""Set up management agreements for property "" (""astrbm2.pdf"", Current, Original)"
Pair 1293,0.77,"[cogesa1.24] ""Build prototype(s) of selected design(s) for complex explosive articles"" (""cogesa1.24.pdf"", Current, Original)","[cogesa1.25 ] ""Build prototype(s) of selected design(s) for explosive articles"" (""cogesa1.25 .pdf"", Current, Original)"
Pair 1294,0.77,"[cfabat001] ""Evaluate and develop the organisation’s ability to bid"" (""cfabat001l.pdf"", Current, Original)","[insbtp001] ""Evaluate and develop your organisation’s ability to bid"" (""evaluate-and-develop-your-organisation’s-ability-to-bid-insbtp001.pdf"", Current, Original)"
Pair 1295,0.77,"[semres324] ""Contribute to technical leadership of signal engineering activities"" (""semres324.pdf"", Current, Original)","[semret323] ""Contribute to technical leadership of telecoms engineering activities"" (""semret323.pdf"", Current, Original)"
Pair 1296,0.77,"[cfas6.3l] ""Sell products and services at trade fairs, exhibitions or conferences - legacy"" (""cfas6.3l.pdf"", Legacy, Original)","[cfasal014] ""Sell products and/or services at trade fairs, exhibitions or conferences"" (""cfasal014.pdf"", Current, Original)"
Pair 1297,0.77,"[sfhmh68] ""Co-produce action plans which assist stakeholders in improving environments and practices to promote mental health"" (""sfhmh68.pdf"", Current, Original)","[sfhmh69] ""Work co-productively to implement action plans for improving environments and practices to promote mental health"" (""sfhmh69.pdf"", Current, Original)"
Pair 1298,0.77,"[impdt111] ""Operate and monitor a distillery blending process"" (""impdt111.pdf"", Current, Original)","[impdt112] ""Operate and monitor a distillery filtration process"" (""impdt112.pdf"", Current, Original)"
Pair 1299,0.77,"[eusgno310] ""Prepare resources and segregate the area for site works in diverse situations"" (""eusgno310.pdf"", Current, Imported)","[eussm8] ""Prepare resources and segregate the area for site works"" (""eussm8.pdf"", Current, Original)"
Pair 1300,0.77,"[semme3052] ""Assembling sub-assemblies and components to produce major marine structural assemblies"" (""semme3052.pdf"", Current, Original)","[semme3066] ""Siting and levelling for the assembly of marine structures"" (""semme3066.pdf"", Current, Original)"
Pair 1301,0.765,"[eskitp5022] ""Software development level 2 role"" (""eskitp5022.pdf"", Current, Original)","[eskitp5023] ""Software development level 3 role"" (""eskitp5023.pdf"", Current, Original)"
Pair 1302,0.765,"[proctn408] ""Contribute to the development needs of teams and individuals"" (""proctn408.pdf"", Current, Original)","[prohbc9] ""Contribute to the development of teams and individuals"" (""prohbc9.pdf"", Current, Original)"
Pair 1303,0.765,"[pplhsl30] ""Ensure food safety practices are followed in the preparation and serving of food and drink"" (""pplhsl30.pdf"", Current, Original)","[pplhsl30] ""Ensure food safety practices are followed in the preparation and serving of food and drink "" (""pplhsl30l.pdf"", Legacy, Original)"
Pair 1304,0.765,"[astpar1.2.4] ""Develop a strategic plan for the provision of parking"" (""astpar1.2.4.pdf"", Current, Original)","[sfs evs 2] ""Develop a strategic plan for the provision of event security"" (""sfsevs2.pdf"", Current, Original)"
Pair 1305,0.765,"[cosvr720] ""Plan historical conservation/restoration activities"" (""cosvr720.pdf"", Current, Original)","[cosvr722] ""Plan demolition activities"" (""cosvr722.pdf"", Current, Original)"
Pair 1306,0.765,"[prohsem4.7] ""Conduct health and safety risk assessment in extractive industries sites"" (""prohsem4.7.pdf"", Current, Original)","[prohsem4.8] ""Conduct environmental risk assessment in extractive industries sites"" (""prohsem4.8.pdf"", Current, Original)"
Pair 1307,0.765,"[progm01] ""Maintain health and safety within the glass manufacturing working environment"" (""progm01.pdf"", Current, Original)","[propgsf1] ""Maintain health and safety within the production of glass supporting fabrications working environment"" (""propgsf1.pdf"", Current, Original)"
Pair 1308,0.765,"[ccssl11] ""Rig and check lighting equipment legacy"" (""ccssl11l.pdf"", Legacy, Original)","[ccsttl26] ""Rig and check lighting equipment  "" (""ccsttl26.pdf"", Current, Original)"
Pair 1309,0.765,"[cogsign15] ""Signage – carry out screen print operations"" (""cogsign15.pdf"", Current, Original)","[cogsm15] ""Unit 15: carry out screen print operations in signmaking environment"" (""cogsm15.pdf"", Current, Original)"
Pair 1310,0.765,"[skagb5] ""Dry and finish men’s hair"" (""skagb5.pdf"", Current, Original)","[skagh10] ""Style and finish hair"" (""skagh10.pdf"", Current, Original)"
Pair 1311,0.765,"[lanleo25] ""Service and repair pneumatic systems on land-based equipment"" (""lanleo25.pdf"", Current, Original)","[lanleo25] ""Service and repair pneumatic systems and components on land-based equipment;legacy"" (""lanleo25l.pdf"", Legacy, Original)"
Pair 1312,0.765,"[skagh7 (2)] ""Remove hair extensions gh7"" (""skagh7 (2).pdf"", Current, Original)","[skagh7] ""Remove hair extensions"" (""skagh7.pdf"", Current, Original)"
Pair 1313,0.765,"[sempeo135] ""Applying heat treatment to engineering materials"" (""sempeo135.pdf"", Current, Original)","[sempeo254] ""Carrying out heat treatment of engineering materials"" (""sempeo254.pdf"", Current, Original)"
Pair 1314,0.76,"[sksrac24] ""Produce live radio or audio"" (""sksrac24.pdf"", Current, Original)","[sksrc24v1] ""Produce live radio broadcasts legacy"" (""sksrc24v1l.pdf"", Legacy, Original)"
Pair 1315,0.76,"[impqi209kv1] ""Understand how to contribute to the measurement and collection of data for achieving excellence in a food environment legacy"" (""impqi209kv1l.pdf"", Legacy, Original)","[impqi288kv1] ""Understand how to measure and collect data for achieving excellence in a food environment legacy"" (""impqi288kv1l.pdf"", Legacy, Original)"
Pair 1316,0.76,"[procwp156] ""Support the use of resources in fibreboard operations"" (""procwp156.pdf"", Current, Original)","[proemb1] ""Support the efficient use of resources"" (""proemb1.pdf"", Current, Original)"
Pair 1317,0.76,"[sksrac25] ""Produce radio and audio outside broadcasts"" (""sksrac25.pdf"", Current, Original)","[sksrc25v1] ""Produce radio outside broadcasts legacy"" (""sksrc25v1l.pdf"", Legacy, Original)"
Pair 1318,0.76,"[scdinspc2 ] ""Work with service providers to carry out self-assessment "" (""scdinspc2_work_with_service_providers_to_carry_out_self_assessment[1].pdf"", Current, Original)","[scdinspc4 ] ""Manage challenges to inspection findings "" (""scdinspc4 manage challenges to inspection findings   previously scdinspc5 .pdf"", Current, Original)"
Pair 1319,0.76,"[sfhdt12] ""Design, manufacture and finish single metallic restorations and copings for the application of tooth coloured materials"" (""sfhdt12.pdf"", Current, Original)","[sfhdt15] ""Design and manufacture single tooth coloured restorations based on metallic substructures"" (""sfhdt15.pdf"", Current, Original)"
Pair 1320,0.76,"[semme2114] ""Assisting in the installation of ancillary equipment in yachts and boats"" (""semme2114.pdf"", Current, Original)","[semme2115] ""Assisting in the installation of domestic equipment in yachts and boats"" (""semme2115.pdf"", Current, Original)"
Pair 1321,0.76,"[cfabac312] ""Provide reception services"" (""cfabac312.pdf"", Current, Original)","[ppl2foh9] ""Provide reception services"" (""ppl2foh9l.pdf"", Legacy, Imported)"
Pair 1322,0.76,"[cogsign25] ""Prepare and produce quotations"" (""cogsign25.pdf"", Current, Original)","[cogsm26] ""Unit 26: prepare and produce quotations"" (""cogsm26.pdf"", Current, Original)"
Pair 1323,0.76,"[semmme2-45] ""Operating cnc aspheric optical and diamond turning machines"" (""semmme245.pdf"", Current, Original)","[semmme3-154] ""Machining components using cnc aspheric glass and diamond turning machines"" (""semmme3154.pdf"", Current, Original)"
Pair 1324,0.76,"[prosm006] ""Drying of timber"" (""prosm006.pdf"", Current, Original)","[prosm06] ""Drying of timber"" (""prosm06.pdf"", Current, Original)"
Pair 1325,0.76,"[lanctb3] ""Plan and implement training programmes for dogs"" (""lanctb3.pdf"", Current, Original)","[lanctb4] ""Plan and implement training programmes for dogs and handlers"" (""lanctb4.pdf"", Current, Original)"
Pair 1326,0.76,"[progm05] ""Check the quality of products in glass manufacturing"" (""progm05.pdf"", Current, Original)","[progp05] ""Check the quality of products in glass processing"" (""progp05.pdf"", Current, Original)"
Pair 1327,0.76,"[laneq211] ""Long rein a horse under supervision legacy"" (""laneq211l.pdf"", Legacy, Original)","[laneq212] ""Lunge a horse under supervision legacy"" (""laneq212l.pdf"", Legacy, Original)"
Pair 1328,0.76,"[sksanim19] ""Generate ideas for a media production"" (""generate-ideas-for-a-media-production-sksanim19.pdf"", Current, Original)","[sks p1] ""Generate ideas for a film or television production"" (""sks p1.pdf"", Current, Original)"
Pair 1329,0.755,"[lantw70] ""Manage specimen trees"" (""lantw70.pdf"", Current, Original)","[lantw70 ] ""Manage specimen trees legacy"" (""lantw70l.pdf"", Legacy, Original)"
Pair 1330,0.755,"[sumceeps01] ""Install, test and handover consumer electrical and electronic products and systems"" (""sumceeps01.pdf"", Current, Original)","[sumceeps02] ""Identify and rectify faults in consumer electrical and electronic products and systems"" (""sumceeps02.pdf"", Current, Original)"
Pair 1331,0.755,"[semme3015] ""Setting to work, testing and trialling marine navigational equipment and systems"" (""semme3015.pdf"", Current, Original)","[semme3017] ""Setting to work, testing and trialling marine computer equipment and systems"" (""semme3017.pdf"", Current, Original)"
Pair 1332,0.755,"[cogpio3.1 ] ""Control room operations in processing industries operations"" (""cogpio3.1 .pdf"", Current, Tailored)","[cogdo30] ""Control room operations in downstream operations"" (""control-room-operations-in-downstream-operations-cogdo30.pdf"", Current, Original)"
Pair 1333,0.755,"[eusra28] ""Control the handover of recyclables and other materials"" (""eusra28.pdf"", Current, Original)","[eusra29] ""Control the reception of recyclables and other materials"" (""eusra29.pdf"", Current, Original)"
Pair 1334,0.755,"[sfhchem3] ""Administer intrathecal anti-cancer therapy"" (""sfhchem3.pdf"", Current, Empty)","[sfhchem4] ""Assist with the administration of intrathecal anti-cancer therapy"" (""sfhchem4.pdf"", Current, Empty)"
Pair 1335,0.755,"[ppl.b403] ""Evaluate proposals and options for retail products"" (""ppl.b403.pdf"", Current, Original)","[ssr.b403] ""Evaluate options for retail products legacy"" (""ssrb403l.pdf"", Legacy, Original)"
Pair 1336,0.755,"[cfabah111] ""Support the monitoring and evaluation of trends and events that affect organisations"" (""cfabah111.pdf"", Current, Original)","[cfabah114] ""Monitor and evaluate trends and events that affect organisations"" (""cfabah114.pdf"", Current, Original)"
