,Keywords,Keywords_2
tdastl56.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['liaison, organise, stock, suppliers, best value, purchase, orders, records, store,', 'inventory, quality, prepare, health and safety, waste disposal', '7']"
tdastl57.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['supply, records, regulations, monitor, feedback, review', '5']"
tdastl58.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['home-to-school, educational visits, field studies, sports, arrangements,', 'contingencies, best value, health and safety, security, records', '6']"
tdastl59.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['home-to-school, transport, travel, setting, playgroup, college, cultural, visits,', 'field studies, community-based activities', '6']"
tdastl6.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['national curriculum, primary strategy, key stage 3 strategy, reading, writing,', 'speaking, talking and listening, language development, English, Welsh,', 'mathematics, number, shape, space, measures', '5']"
tdastl60.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['professional, integrity, communication differences, confidentiality, diversity,', 'responsibilities, verbal, written, telephone, letter, text, email, respect,', 'information, facilitate, boundaries, protocols', '7']"
tdastl61.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['review, practice, team, consultation, communication, barriers, quality,', 'improvement', '5']"
tdastl64.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['management, communication, planning, vision, consultation, feedback,', 'conflict, coaching, mentoring, empowering, responsibility, policy, procedure', '5']"
tdastl65.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['management, leadership, communication, planning, reviewing, prioritising,', 'delegation, monitoring, decision-making, problem-solving, team building,', 'feedback, motivating, conflict', '6']"
tdastl66.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['management, leadership, problem-solving, confidentiality, review', '6']"
tdastl67.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['management, leadership, communication, planning, reviewing, prioritising,', 'feedback, motivating, coaching, mentoring, empowering, demonstrating,', 'development planning', '6']"
tdastl69.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['planning, assess, performance, standards, observation, development,', 'management, feedback, improvement, training', '5']"
tdastl9.pdf,"mathematics, planning, preparation, resources, outcomes, number, shape, measures, data handling, problem solving, symbols, diagrams, activities","['assessment, organisation, behaviour, evidence, record keeping, confidentiality', '6']"
trace-the-route-of-water-pipes-and-locate-surface-fittings-and-street-furniture-eusldc2.pdf,"tracing techniques; valve, meter chamber and hydrant covers","['leakage; valves; meters; water quality', '5']"
work-to-professional-veterinary-nursing-practice-standards-lanrvn25.pdf,regulation; veterinary nurse,"['animals, nurses, procedures', '4']"
