,NOS 1,NOS 2
Pair 1216,"('sfhdt20', 'design and manufacture conventional removable orthodontic appliances', 'sfhdt20.pdf')","('sfhdt21', 'design and manufacture complex removable orthodontic appliances', 'sfhdt21.pdf')"
Pair 1217,"('sfhec19', 'perform manual external defibrillation on an adult or older person ', 'sfhec19.pdf')","('sfhec20', 'perform manual external defibrillation on a child or young person ', 'sfhec20.pdf')"
Pair 1218,"('sfhend04', 'schedule endoscopic procedures for individuals', 'sfhend04.pdf')","('sfhend19', 'provide reports on endoscopic procedures', 'sfhend19.pdf')"
Pair 1219,"('sfheusc44', 'discontinue infused and/or inhaled pharmaceutical interventions ', 'sfheusc44.pdf')","('sfheusc45', 'reverse an anaesthetic intervention', 'sfheusc45.pdf')"
Pair 1220,"('sfhgen107', 'enable individuals and families to put informed choices for optimising their health and wellbeing into action', 'sfhgen107.pdf')","('sfhmh40', 'enable individuals and families to put informed choices for optimising their mental health and social well-being into action', 'sfhmh40.pdf')"
Pair 1221,"('sfhgen117', 'monitor, evaluate and improve processes for delivering health and wellbeing services to a population', 'sfhgen117.pdf')","('sfhmh57', 'monitor, evaluate and improve processes for delivering mental health services to a population', 'sfhmh57.pdf')"
Pair 1222,"('sfhgen121', 'monitor and review changes in environments and practices to promote health and wellbeing', 'sfhgen121.pdf')","('sfhmh70', 'monitor and review changes in environments and practices to promote mental health', 'sfhmh70.pdf')"
Pair 1223,"('sfhgen125', 'lead the implementation of inter-agency services for addressing health and wellbeing needs', 'sfhgen125.pdf')","('sfhgen126', 'monitor, evaluate and improve inter-agency services for addressing health and wellbeing needs', 'sfhgen126.pdf')"
Pair 1224,"('sfhgen130', 'work with teams and agencies to review progress and performance and identify next steps', 'sfhgen130.pdf')","('sfhmh91', 'work with teams and agencies to review progress', 'sfhmh91.pdf')"
Pair 1225,"('sfhhpc2', 'advise on the fitness of individuals to be detained in police custody', 'sfhhpc2.pdf')","('sfhhpc4', 'advise on the fitness of individuals for travel, transfer or release from police custody', 'sfhhpc4.pdf')"
Pair 1226,"('sfhltcn22', 'support individuals with neurological conditions to optimise their communication skills', 'sfhltcn22.pdf')","('sfhltcn23', 'support individuals with neurological conditions to optimise their independence', 'sfhltcn23.pdf')"
Pair 1227,"('sfhmcn7', 'develop and agree individualised antenatal care plans ', 'sfhmcn7.pdf')","('sfhmcn8', 'develop and agree individualised care plans for labour and birth ', 'sfhmcn8.pdf')"
Pair 1228,"('sfhmh68', 'co-produce action plans which assist stakeholders in improving environments and practices to promote mental health', 'sfhmh68.pdf')","('sfhmh69', 'work co-productively to implement action plans for improving environments and practices to promote mental health', 'sfhmh69.pdf')"
Pair 1229,"('sfhoh11', 'take a direct face bow record for a dental procedure', 'sfhoh11.pdf')","('sfhoh12', 'take an oral tracing registration', 'sfhoh12.pdf')"
Pair 1230,"('sfhoh16 ', 'design and manufacture complete removable prostheses', 'sfhoh16.pdf')","('sfhoh17 ', 'design and manufacture partial removable prostheses', 'sfhoh17.pdf')"
Pair 1231,"('sfhoh21 ', 'design, manufacture and finish single and integral metallic restorations', 'sfhoh21.pdf')","('sfhoh22 ', 'design and manufacture metallic sub-structures for the application of tooth coloured materials', 'sfhoh22.pdf')"
Pair 1232,"('sfhoh28 ', 'design and manufacture functional orthodontic appliances', 'sfhoh28.pdf')","('sfhoh30 ', 'design and manufacture removable orthodontic appliances', 'sfhoh30.pdf')"
Pair 1233,"('sfhpharm18', 'prepare aseptic products', 'sfhpharm18l.pdf')","('sfhpharm19', 'prepare aseptic products and carry out in-process checking', 'sfhpharm19l.pdf')"
Pair 1234,"('sfhpharm21', 'prepare documentation, materials and other items for the preparation of aseptic products', 'sfhpharm21l.pdf')","('sfhpharm23', 'check documentation, starting materials, components and other consumables for the production of aseptic products', 'sfhpharm23l.pdf')"
Pair 1235,"('sfhphs01', 'manage, analyse, interpret and communicate information, knowledge and statistics about health and wellbeing', 'sfhphs01.pdf')","('sfhphs02', 'manage, analyse, interpret and communicate information, knowledge and statistics about needs and outcomes of health and wellbeing', 'sfhphs02.pdf')"
Pair 1236,"('sfhr11', 'deliver external beam megavoltage radiation', 'sfhr11.pdf')","('sfhr12', 'deliver external beam kilovoltage radiation', 'sfhr12.pdf')"
Pair 1237,"('sfhrt1', 'prepare and maintain environments, materials and equipment for the routine design and manufacture of custom made devices', 'sfhrt1.pdf')","('sfhrt12', 'prepare and maintain environments, materials and equipment for the non-routine design and manufacture of custom made devices', 'sfhrt12.pdf')"
Pair 1238,"('sfhrt10', 'carry out routine repairs to custom made devices', 'sfhrt10.pdf')","('sfhrt19', 'carry out non-routine repairs to custom made devices', 'sfhrt19.pdf')"
Pair 1239,"('sfhrt11', 'advise on the suitability of existing, new and emerging technology and materials for routine custom made devices', 'sfhrt11.pdf')","('sfhrt21', 'advise on the suitability of existing, new and emerging technology and materials for non-routine custom made devices', 'sfhrt21.pdf')"
Pair 1240,"('sfhrt15', 'prepare non-routine components for custom made devices', 'sfhrt15.pdf')","('sfhrt5', 'prepare routine components for custom made devices', 'sfhrt5.pdf')"
Pair 1241,"('sfhrt16', 'design and manufacture non-routine custom made devices to fitting stage to meet the prescription', 'sfhrt16.pdf')","('sfhrt6', 'design and manufacture routine custom made devices to fitting stage to meet the prescription', 'sfhrt6.pdf')"
Pair 1242,"('sfhrt17', 'carry out non-routine finishing of custom made devices', 'sfhrt17.pdf')","('sfhrt7', 'carry out routine finishing of custom made devices', 'sfhrt7.pdf')"
Pair 1243,"('sfhrt18', 'carry out non-routine modifications to custom made devices', 'sfhrt18.pdf')","('sfhrt9', 'carry out routine modifications to custom made devices', 'sfhrt9.pdf')"
Pair 1244,"('sfhrt20', 'provide technical assistance with the fitting of non-routine custom made devices', 'sfhrt20.pdf')","('sfhrt8', 'provide technical assistance with the fitting of routine custom made devices', 'sfhrt8.pdf')"
Pair 1245,"('sfhss07', 'receive, transmit, store and retrieve information', 'sfhss07.pdf')","('sfj za1', 'receive, transmit, store and retrieve information', 'sfjza1.pdf')"
Pair 1246,"('sfj la5', 'provide information to clients', 'sfj ab5.pdf')","('sftdw4', 'provide information to clients', 'sftdw4.pdf')"
Pair 1247,"('sfj1.2.5', 'work with providers to commission, monitor and review programmes', 'sfj1.2.5.pdf')","('sfj hf34', 'commission specified programmes from providers', 'sfjhf34.pdf')"
Pair 1248,"('sfj112', 'maintain the currency of your competence and knowledge in public service', 'sfj112.pdf')","('sfj112', 'maintain the currency of your competence and knowledge in public service', 'sfj112l.pdf')"
Pair 1249,"('sfj114', 'work safely in public service', 'sfj114.pdf')","('sfj114', 'work safely in public service', 'sfj114l.pdf')"
Pair 1250,"('sfj441', 'work as a team member to deliver public service', 'sfj441.pdf')","('sfj441', 'work as a team member to deliver public service', 'sfj441l.pdf')"
Pair 1251,"('sfj6125', 'use communication systems in working contexts', 'sfj6125.pdf')","('sfj6125', 'use communication systems in working contexts', 'sfj6125l.pdf')"
Pair 1252,"('sfj6133', 'plan and navigate a cross country route', 'sfj6133.pdf')","('sfj6133', 'plan and navigate a cross country route', 'sfj6133l.pdf')"
Pair 1253,"('sfj6135', 'participate in combat operations preparation', 'sfj6135.pdf')","('sfj6135', 'participate in combat operations preparation', 'sfj6135l.pdf')"
Pair 1254,"('sfj6136', 'perform ceremonial duties', 'sfj6136.pdf')","('sfj6136', 'perform ceremonial duties', 'sfj6136l.pdf')"
Pair 1255,"('sfj6137', 'participate in adventurous activities', 'sfj6137.pdf')","('sfj6137', 'participate in adventurous activities', 'sfj6137l.pdf')"
Pair 1256,"('sfjaa3', 'contribute to developing and maintaining cultures and strategies in which people are respected and valued as individuals', 'sfjaa3.pdf')","('sfjcjaa3', 'contribute to developing and maintaining cultures and strategies in which people are respected and valued as individuals', 'sfjcjaa3l.pdf')"
Pair 1257,"('sfjaf1', 'ensure your own actions reduce risks to health and safety', 'sfjaf1.pdf')","('sfj af1', 'ensure your own actions reduce risks to health and safety', 'sfjcsaf1.pdf')"
Pair 1258,"('sfjaf3', 'promote a health and safety culture within the workplace (sfj af3)', 'sfjaf3.pdf')","('unit f', 'promote a health and safety culture within the workplace', 'sfjcsaf3.pdf')"
Pair 1259,"('sfjba11', 'monitor the development of policies to promote community justice and social inclusion and present information and recommendations for change', 'sfjba11.pdf')","('sfjcjba11', 'monitor the development of policies to promote community justice and social inclusion and present information and recommendations for change', 'sfjcjba11l.pdf')"
Pair 1260,"('sfjba12', 'address problems identified with community safety and social inclusion', 'sfjba12.pdf')","('sfjcjba12', 'address problems identified with community safety and social inclusion', 'sfjcjba12.pdf')"
Pair 1261,"('sfjba13', 'enable groups, communities and organisations to address issues which affect community safety and social inclusion', 'sfjba13.pdf')","('sfj ba13', 'enable groups, communities and organisations to address issues which affect community safety and social inclusion', 'sfjba13l.pdf')"
Pair 1262,"('sfjba14', 'enable individuals to address factors which affect their safety, well-being and social inclusion', 'sfjba14.pdf')","('sfj ba14', 'enable individuals and families to address factors which affect their safety, well-being and social inclusion', 'sfjba14l.pdf')"
Pair 1263,"('sfjba17', 'promote the interests of individuals in the community', 'sfjba17.pdf')","('sfjcjba17', 'promote the interests of individuals in the community', 'sfjcjba17.pdf')"
Pair 1264,"('sfjba3', 'promote the values of community justice and social inclusion and seize opportunities to influence policy development', 'sfjba3.pdf')","('sfjcjba3', 'promote the values of community justice and social inclusion and seize opportunities to influence policy development', 'sfjcjba3l.pdf')"
Pair 1265,"('sfjba4', 'take action to raise awareness of and promote community safety and social inclusion', 'sfjba4.pdf')","('sfjcjba4', 'raise awareness to promote community safety and social inclusion', 'sfjcjba4l.pdf')"
Pair 1266,"('sfjba5', 'contribute to developing awareness and community action in relation to crime', 'sfjba5.pdf')","('sfj ba5', 'contribute to developing awareness and community action in relation to crime', 'sfjba5l.pdf')"
Pair 1267,"('sfjba8', 'contribute to the development of priorities and objectives for promoting community justice and social inclusion', 'sfjba8.pdf')","('sfjcjba8', 'contribute to the development of priorities and objectives for promoting community justice and social inclusion', 'sfjcjba8l.pdf')"
Pair 1268,"('sfjba9', 'contribute to strategies for promoting community justice and social inclusion', 'sfjba9.pdf')","('sfjcjba9', 'contribute to strategies for promoting community justice and social inclusion', 'sfjcjba9l.pdf')"
Pair 1269,"('sfjbc1', 'improve environments and practices to promote community safety and social inclusion', 'sfjbc1.pdf')","('sfj bc1', 'improve environments and practices to promote community safety and social inclusion', 'sfjbc1l.pdf')"
Pair 1270,"('sfjbe1', 'evaluate and process referrals to provide services to victims, survivors and witnesses', 'sfjbe1.pdf')","('sfjcjbe1', 'evaluate and process referrals to provide services to victims, survivors and witnesses', 'sfjcjbe1l.pdf')"
Pair 1271,"('sfjbe102', 'deliver interventions towards supporting victims at risk of serious harm', 'sfjbe102.pdf')","('sfjgc202', 'identify and implement interventions to maintain the safety and security of offenders at risk of harm', 'sfjgc202.pdf')"
Pair 1272,"('sfjbe2', 'provide initial support to victims, survivors and witnesses and assess their need for further support', 'sfjbe2.pdf')","('sfj be2', 'provide initial support to victims, survivors and witnesses and assess their need for further support', 'sfjbe2l.pdf')"
Pair 1273,"('sfjbe4', 'support victims, survivors and witnesses who have suffered bereavement', 'sfjbe4.pdf')","('sfjcjbe4', 'support victims, survivors and witnesses who have suffered bereavement', 'sfjcjbe4l.pdf')"
Pair 1274,"('sfjbe6', 'enable people to support victims, survivors and witnesses in managing the effects of their experience on their lives', 'sfjbe6.pdf')","('sfjcjbe6', 'enable people to support victims, survivors and witnesses in managing the effects of their experience on their lives', 'sfjcjbe6l.pdf')"
Pair 1275,"('sfj bk 201', 'recover the deceased and human remains from scenes involving multiple fatalities', 'sfjbk201.pdf')","('sfj bk202', 'lead recovery of the deceased and human remains from scenes involving multiple fatalities', 'sfjbk202.pdf')"
Pair 1276,"('sfjc03', 'gather information to co-ordinate a fire and rescue response', 'sfjc03.pdf')","('sfjc04', 'co-ordinate a fire and rescue response', 'sfjc04.pdf')"
Pair 1277,"('sfjc21', 'establish and maintain effective working relationships in local government', 'sfjc21.pdf')","('sfjc22', 'maintain and develop effective working relationships in local government', 'sfjc22.pdf')"
Pair 1278,"('cc101', 'set, monitor and review strategies for maintaining public order', 'sfjcc101.pdf')","('sfjcc201', 'formulate, monitor and review tactical plans to achieve strategic objectives for public order operations', 'sfjcc201.pdf')"
Pair 1279,"('sfjccaa1.1', 'establish strategic direction in line with political priorities for the public', 'sfjccaa1.1.pdf')","('sfjpsg2.3.2', 'establish strategic direction in line with political priorities for the public sector', 'sfjpsg2.3.2.pdf')"
Pair 1280,"('sfjccaa1', 'work in co-operation with other organisations', 'sfjccaa1.pdf')","('sfjccaa1l', 'work in co-operation with other organisations', 'sfjccaa1l.pdf')"
Pair 1281,"('sfjccaa2', 'share information with other organisations', 'sfjccaa2.pdf')","('sfjccaa2l', 'share information with other organisations', 'sfjccaa2l.pdf')"
Pair 1282,"('sfjccab1', 'anticipate and assess the risk of emergencies', 'sfjccab1.pdf')","('sfjccab1', 'anticipate and assess the risk of emergencies', 'sfjccab1l.pdf')"
Pair 1283,"('sfjccad2', 'promote business continuity management', 'sfjccad2.pdf')","('sfjccad2', 'promote business continuity management', 'sfjccad2l.pdf')"
Pair 1284,"('sfjccae1.1', 'design policy', 'sfjccae1.1.pdf')","('sfjpsg2.4.1', 'design policy', 'sfjpsg2.4.1.pdf')"
Pair 1285,"('sfjccaf1', 'raise awareness of  risks, potential impacts and arrangements in place for emergencies', 'sfjccaf1.pdf')","('sfjccaf1', 'raise awareness of the risk, potential impact and arrangements in place for emergencies', 'sfjccaf1l.pdf')"
Pair 1286,"('sfjccba3.1', 'manage the induction of staff', 'sfjccba3.1.pdf')","('sftmvc4', 'manage the induction of volunteers', 'sftmvc4.pdf')"
Pair 1287,"('sfjccdb3.1', 'calculate the correct amount liable/payable', 'sfjccdb3.1.pdf')","('sfjps6.4.9', 'calculate correct amount liable/payable', 'sfjps6.4.9.pdf')"
Pair 1288,"('sfjccde1.2', 'maintain the currency of your competence and knowledge in public', 'sfjccde1.2.pdf')","('sfjps1.1.2', 'maintain the currency of your competence and knowledge in public service', 'sfjps1.1.2.pdf')"
Pair 1289,"('sfjccdf1.1', 'maintain the security of data through your own actions', 'sfjccdf1.1.pdf')","('sfjpa4.1', 'maintain the security of data through your own actions', 'sfjpa4l.pdf')"
Pair 1290,"('sfjcchf16a', 'manage information for action', 'sfjcchf16a.pdf')","('sfjcchf16', 'manage information for action - legacy', 'sfjcchf16l.pdf')"
Pair 1291,"('sfjchcc060', 'calculate critical dates for sentences', 'sfjchcc060.pdf')","('sfjchcc061', 'verify critical dates for sentences', 'sfjchcc061.pdf')"
Pair 1292,"('sfjcjde1', 'assist witnesses and their associates to prepare for judicial and legal processes', 'sfjcjde1l.pdf')","('sfjde1', 'assist victims, survivors, witnesses and their associates to prepare for judicial and legal processes', 'sfjde1.pdf')"
Pair 1293,"('sfjcjgb4', 'support individuals with difficult or potentially difficult relationships', 'sfjcjgb4l.pdf')","('sfjgb4', 'support individuals with difficult or potentially difficult relationships', 'sfjgb4.pdf')"
Pair 1294,"('sfjcjgb5', 'enable individuals to maintain contacts in potentially isolating situations', 'sfjcjgb5l.pdf')","('sfjgb5', 'enable individuals to maintain contacts in potentially isolating situations', 'sfjgb5.pdf')"
Pair 1295,"('sfjcjgb8', 'represent individuals’ and families’ interests when they are not able to do so themselves', 'sfjcjgb8l.pdf')","('sfjgb8', 'represent individuals’ and families’ interests when they are not able to do so themselves', 'sfjgb8.pdf')"
Pair 1296,"('sfjcjgc2', 'contribute to the protection of children from abuse', 'sfjcjgc2l.pdf')","('sfjgc2', 'contribute to the protection of children and young people from abuse', 'sfjgc2.pdf')"
Pair 1297,"('sfjcjhf26', 'contribute to the development and promotion of the organisation and its services', 'sfjcjhf26l.pdf')","('sfjhf26', 'contribute to the development and promotion of the organisation and its services', 'sfjhf26.pdf')"
Pair 1298,"('sfjcjhf33', 'contribute to the development of services which address problematic behaviour, and which reduce offending/reoffending', 'sfjcjhf33l.pdf')","('sfjhf33', 'contribute to the development of services which address crime and problematic behaviour, and which reduce offending/reoffending', 'sfjhf33.pdf')"
Pair 1299,"('sfjcjhg101', 'manage political relationships and lobby for influence', 'sfjcjhg101l.pdf')","('sfjhg101', 'manage political relationships and lobby for influence', 'sfjhg101.pdf')"
Pair 1300,"('sfjcjhg3', 'support others to make best use of the media', 'sfjcjhg3l.pdf')","('sfjhg3', 'support others to make best use of the media', 'sfjhg3.pdf')"
Pair 1301,"('sfj cm04', 'apply the inference development process to make judgements based on intelligence analysis methodology', 'sfjcm04.pdf')","('sfjcm4', 'use inference development to make judgements based on intelligence analysis methodology', 'sfjcm4.pdf')"
Pair 1302,"('sfjcps8.14', 'analyse and report data', 'sfjcps8.14.pdf')","('sfjpa2.1', 'analyse and report data', 'sfjpa2.1.pdf')"
Pair 1303,"('sfjcps9.5', 'appraise the feasibility of proposals for policies, projects and', 'sfjcps9.5.pdf')","('sfjpsg5.1.1', 'appraise the feasibility of proposals for policies, projects and programmes in the public sector', 'sfjpsg5.1.1.pdf')"
Pair 1304,"('sfjcps9.6', 'evaluate policies, projects and programmes in the public sector', 'sfjcps9.6.pdf')","('sfjpsg5.1.2', 'evaluate policies, projects and programmes in the public sector', 'sfjpsg5.1.2.pdf')"
Pair 1305,"('sfjcps9.7', 'progress the business case for programmes/projects in the public', 'sfjcps9.7.pdf')","('sfjpsg6.2.1', 'progress the business case for programmes/projects in the public sector', 'sfjpsg6.2.1.pdf')"
Pair 1306,"('sfjdb1', 'receive and progress court, tribunal and prosecution cases ', 'sfjdb1.pdf')","('sfjdb1', 'receive and progress court, tribunal and prosecution cases', 'sfjdb1l.pdf')"
Pair 1307,"('sfjdb2', 'allocate, list and arrange resources for court, tribunal and prosecution cases ', 'sfjdb2.pdf')","('sfjdb2', 'allocate, list and arrange resources for court, tribunal and prosecution cases', 'sfjdb2l.pdf')"
Pair 1308,"('sfjdb3', 'progress requests for rescheduling court and tribunal cases', 'sfjdb3.pdf')","('sfjdb3', 'progress requests for rescheduling court and tribunal cases', 'sfjdb3l.pdf')"
Pair 1309,"('sfjdb4', 'prepare and provide papers for individual court, tribunal and prosecution cases', 'sfjdb4.pdf')","('sfjdb4', 'prepare and provide papers for individual court, tribunal and prosecution cases', 'sfjdb4l.pdf')"
Pair 1310,"('sfjdb6', 'address requirements for special arrangements at courts and tribunals', 'sfjdb6.pdf')","('sfjdb6', 'address requirements for special arrangements at courts and tribunals', 'sfjdb6l.pdf')"
Pair 1311,"('sfjdb7', 'address pre-hearing matters relating to court, tribunal and prosecution cases', 'sfjdb7.pdf')","('sfjdb7', 'address pre-hearing matters relating to court, tribunal and prosecution cases', 'sfjdb7l.pdf')"
Pair 1312,"('sfjdb8', 'address applications for legal aid', 'sfjdb8.pdf')","('sfjdb8', 'address applications for legal aid', 'sfjdb8l.pdf')"
Pair 1313,"('sfjdc1', 'prepare court and tribunal rooms for proceedings', 'sfjdc1.pdf')","('sfjdc1', 'prepare court and tribunal rooms for proceedings', 'sfjdc1l.pdf')"
Pair 1314,"('sfjdc2', 'provide support to those attending courts and tribunals', 'sfjdc2.pdf')","('sfjdc2', 'provide support to those attending courts and tribunals', 'sfjdc2l.pdf')"
Pair 1315,"('sfjdc3', 'support proceedings in courts and tribunals', 'sfjdc3.pdf')","('sfjdc3', 'support proceedings in courts and tribunals', 'sfjdc3l.pdf')"
Pair 1316,"('sfjdc4', 'maintain public order and protocols at courts and tribunals', 'sfjdc4.pdf')","('sfjdc4', 'maintain public order and protocols at courts and tribunals', 'sfjdc4l.pdf')"
Pair 1317,"('sfjdc6', 'process claims for expenses relating to attendance at courts and tribunals', 'sfjdc6.pdf')","('sfjdc6', 'process claims for expenses relating to attendance at courts and tribunals', 'sfjdc6l.pdf')"
Pair 1318,"('sfjdc7', 'monitor progress of court and tribunal cases and review case schedules', 'sfjdc7.pdf')","('sfjdc7', 'monitor progress of court and tribunal cases and review case schedules', 'sfjdc7l.pdf')"
Pair 1319,"('sfjdd1', 'coordinate the provision of jurors ', 'sfjdd1.pdf')","('sfjdd1', 'coordinate the provision of jurors', 'sfjdd1l.pdf')"
Pair 1320,"('sfjdd2', 'support jurors at court', 'sfjdd2.pdf')","('sfjdd2', 'support jurors at court', 'sfjdd2l.pdf')"
Pair 1321,"('sfjdd3', 'manage jurors and protect their integrity at court', 'sfjdd3.pdf')","('sfjdd3', 'manage jurors and protect their integrity at court', 'sfjdd3l.pdf')"
Pair 1322,"('sfjde4', 'inform and update victims and survivors on the progress of offenders through custodial sentences', 'sfjde4.pdf')","('sfj de4 ', 'inform and update victims on the progress of offenders through custodial sentences', 'sfjde4l.pdf')"
Pair 1323,"('sfjdg1', 'process outcomes of court and tribunal hearings', 'sfjdg1.pdf')","('sfjdg1', 'process outcomes of court and tribunal hearings', 'sfjdg1l.pdf')"
Pair 1324,"('sfjdg2', 'process appeals in courts and tribunals', 'sfjdg2.pdf')","('sfjdg2', 'process appeals in courts and tribunals', 'sfjdg2l.pdf')"
Pair 1325,"('sfjdg3', 'administer the collection of financial orders levied by courts and tribunals', 'sfjdg3.pdf')","('sfjdg3', 'administer the collection of financial orders levied by courts and tribunals', 'sfjdg3l.pdf')"
Pair 1326,"('sfjdh1', 'respond to enquiries regarding courts and tribunals', 'sfjdh1.pdf')","('sfjdh1', 'respond to enquiries regarding courts and tribunals', 'sfjdh1l.pdf')"
Pair 1327,"('sfjea2', 'assess offenders for risk factors and levels of risk associated with their behaviour', 'sfjea2.pdf')","('sfj ea2', 'assess offenders for risk factors and levels of risk associated with their behaviour', 'sfjea2l.pdf')"
Pair 1328,"('sfjea3', 'develop proposals and prepare reports to inform sentencing', 'sfjea3.pdf')","('sfj ea3', 'develop proposals and prepare reports to inform sentencing', 'sfjea3l.pdf')"
Pair 1329,"('sfjeb1', 'contribute to the supervision and enforcement of low to medium risk offenders serving sentences in the community', 'sfjeb1.pdf')","('sfj eb1', 'contribute to the supervision and enforcement of low to medium risk offenders serving sentences in the community', 'sfjeb1l.pdf')"
Pair 1330,"('sfjeb2', 'plan, supervise, enforce and review sentences in the community', 'sfjeb2.pdf')","('sfj eb2', 'plan, supervise, enforce and review sentences in the community', 'sfjeb2l.pdf')"
Pair 1331,"('sfjec7', 'reinforce positive behavioural goals during relationships with offenders', 'sfjec7.pdf')","('sfj ec7', 'reinforce positive behavioural goals during relationships with offenders', 'sfjec7l.pdf')"
Pair 1332,"('sfjed1', 'plan, monitor and review integrated packages of interventions and support to address individuals’ offending behaviour', 'sfjed1.pdf')","('sfj ed1', 'plan, monitor and review integrated packages of interventions and support to address individuals’ offending behaviour', 'sfjed1l.pdf')"
Pair 1333,"('sfjed4', 'deliver evidence-based intervention programmes', 'sfjed4.pdf')","('sfj ed4 ', 'deliver evidence-based intervention programmes', 'sfjed4l.pdf')"
Pair 1334,"('sfjga1', 'enable individuals to find and use services and facilities', 'sfjga1.pdf')","('sfj ga1l', 'enable individuals to find and use services and facilities', 'sfjga1l.pdf')"
Pair 1335,"('sfjgb3', 'enable individuals to understand and address their difficulties', 'sfjgb3.pdf')","('sfj gb3', 'enable individuals to understand and address their difficulties', 'sfjgb3l.pdf')"
Pair 1336,"('sfjgc1', 'contribute to the protection of individuals from abuse', 'sfjgc1.pdf')","('sfj gc1', 'contribute to the protection of individuals from abuse', 'sfjgc1l.pdf')"
Pair 1337,"('sfjhf14', 'plan, implement and manage systems for the exchange of sensitive information, data and intelligence', 'sfjhf14.pdf')","('sfjhf14', 'plan, implement and manage systems for the exchange of sensitive information, data and intelligence legacy', 'sfjhf14l.pdf')"
Pair 1338,"('sfjhf19', 'develop proposals to meet external tendering requirements', 'sfjhf19.pdf')","('sfjhf19', 'develop proposals to meet external tendering requirements legacy', 'sfjhf19l.pdf')"
Pair 1339,"('sfjhf23', 'carry out effective evaluation of projects and processes', 'sfjhf23.pdf')","('sfjhf23', 'ensure an effective approach to project and process evaluation legacy', 'sfjhf23l.pdf')"
Pair 1340,"('sfjhg1', 'establish and manage links with the wider community', 'sfjhg1.pdf')","('sfjhg1', 'establish and manage links with the wider community legacy', 'sfjhg1l.pdf')"
Pair 1341,"('sfjodps2.3.10', 'evaluate the effectiveness of the operational delivery business process', 'sfjodps2.3.10.pdf')","('sfjpe1.3', 'evaluate the effectiveness of the operational delivery business process', 'sfjpe1.3.pdf')"
Pair 1342,"('sfjodps2.3.11', 'contribute to the evaluation of the effectiveness of the operational delivery business process', 'sfjodps2.3.11.pdf')","('sfjpe1.4', 'contribute to the evaluation of the effectiveness of the operational delivery business process', 'sfjpe1.4.pdf')"
Pair 1343,"('sfjodps2.3.4', 'comment on draft legislation, proposals and processes to ensure they achieve policy objectives', 'sfjodps2.3.4.pdf')","('sfjodps2.3.5', 'provide technical comments on legislation, proposals and/or processes to ensure they achieve policy objectives', 'sfjodps2.3.5.pdf')"
Pair 1344,"('sfjodps2.3.9', 'contribute to the design and testing of operational delivery business process', 'sfjodps2.3.9.pdf')","('sfjpe1.2', 'contribute to the design and testing of operational delivery business process', 'sfjpe1.2.pdf')"
Pair 1345,"('sfjodps6.15.2', 'investigate suspected non-compliant individuals', 'sfjodps6.15l.pdf')","('sfjpa3.2', 'investigate suspected non-compliant individuals', 'sfjpa3.2.pdf')"
Pair 1346,"('sfjodps6.4.12', 'grant discretionary authorisations, approvals, concessions and/or', 'sfjodps6.4.12.pdf')","('sfjodps6.4.13', 'grant or recommend discretionary authorizations, approvals,', 'sfjodps6.4.13.pdf')"
Pair 1347,"('sfjodps6.7.6', 'represent the organisation in complex cases in courts and formal', 'sfjodps6.7.6.pdf')","('sfjodps6.7.7', 'represent the organisation in courts and formal hearings', 'sfjodps6.7.7.pdf')"
Pair 1348,"('sfjpd6.1', 'work safely in public service', 'sfjpd6.1.pdf')","('sfjps1.1.4', 'work safely in public service', 'sfjps1.1.4.pdf')"
Pair 1349,"('sfjpi1.1', 'work as a team member to deliver public service', 'sfjpi1.1.pdf')","('sfjps4.4.1', 'work as a team member to deliver public service', 'sfjps4.4.1.pdf')"
Pair 1350,"('sfjpk1.2', 'maintain required standards of conduct in public service', 'sfjpk1.2.pdf')","('sfjps1.1.3', 'maintain required standards of conduct in public service', 'sfjps1.1.3.pdf')"
Pair 1351,"('sfjpsg6.2.4', 'prepare for a project review in the public sector', 'sfjpsg6.2.4.pdf')","('sfjpsg6.2.5', 'exercise responsibility for a public sector programme/project subject to reviews', 'sfjpsg6.2.5.pdf')"
Pair 1352,"('sfjsv1', 'advocate on behalf of victims/survivors of sexual violence', 'sfjsv1.pdf')","('sfjsv8', 'support victims/survivors of sexual violence through the court process', 'sfjsv8.pdf')"
Pair 1353,"('sfjsv6', 'address callers regarding sexual violence with sensitivity', 'sfjsv6.pdf')","('sfjsv7', 'establish and address requirements from callers regarding sexual violence', 'sfjsv7.pdf')"
Pair 1354,"('sfj za11', 'ensure organisational compliance with data protection legislation', 'sfjza11 (2).pdf')","('sfj za11', 'ensure organisational compliance with data protection legislation', 'sfjza11.pdf')"
Pair 1355,"('sfj za12 ', 'administer compliance with data protection legislation', 'sfjza12 (2).pdf')","('sfj za12 ', 'administer compliance with data protection legislation', 'sfjza12.pdf')"
Pair 1356,"('sfj za13', 'ensure organisational compliance with freedom of information legislation', 'sfjza13 (2).pdf')","('sfj za13', 'ensure organisational compliance with freedom of information legislation', 'sfjza13.pdf')"
Pair 1357,"('sfj za14 ', 'administer compliance with freedom of information legislation', 'sfjza14 (2).pdf')","('sfj za14 ', 'administer compliance with freedom of information legislation', 'sfjza14.pdf')"
Pair 1358,"('sfjzi01', 'provide solutions to, and advise on, complex technical support tasks', 'sfjzi01.pdf')","('sfjzi1', 'provide solutions to, and advise on, complex technical support problems', 'sfjzi1.pdf')"
