,Top skills extracted,Corresponding top clusters,Suite size
Commercial energy advice,Management; Energy management; Carbon reduction; Energy efficiency; Lighting; Energy consumption; Ventilation; Promote; Inspection; Scheme; Cost; Cost benefit analysis; Benefit analysis; Training; Site inspection; Calculation; Compliance; Audit; Energy policy; Set target,"Energy; Hr management; Animation; Accounting and financial management; Heating, ventilation and plumbing; Business analysis and it projects; Business management; Employee development; Marketing strategy and branding; Construction engineering; Procurement; Office administration; Construction; Claims administration; Driving and automotive maintenance; Audit and compliance; Recruitment; Manufacturing methods; Neurological disorders; General sales",8
Business improvement techniques suite 4,Management; Initiative; Coordinating; Cost; Root cause analysis; Standard deviation; Median; Listen; People work; Kanban; Promote; Floor; Pareto analysis; Kaizen; Business process; Coordinate; Instruction; Computer numerical control cnc; Inspection; Compliance,Employee development; Recruitment; Business management; Office administration; Procurement; Manufacturing methods; Data engineering; Construction; Business analysis and it projects; Welding and machining; Languages; Digital marketing; Marketing strategy and branding; Marketing research; Claims administration; Driving and automotive maintenance; Audit and compliance; Research methods and statistics; Diagnostic imaging; Accounting and financial management,8
Patient education,Management; External link; Education; Learning style; Interview technique; Promote; Comment; Age; History; Learning development; Group dynamic; Learning support,Teaching; Languages; Business management; Recruitment; Marketing strategy and branding; Journalism and writing; Social work and caregiving; Marketing research,8
Packing,Instruction; Food; Cleaning; Trial; Alteration; Cost; Test equipment; Hair; Food safety; Mould; Avoid contamination; Dispatch; Storage; Permit; Labeling; Clinical trial; Environmental legislation; Explosive; Decontamination,"Languages; Driving and automotive maintenance; Construction; Claims administration; Health, safety and environment; Clinical research; Procurement; Electronics; Retail management; Office administration; Shipping and warehouse operations; Structural engineering; Gastroenterology",8
Inspection of public sector services,Promote; Inspection; Management; Acting; Risk management; Compliance; History; Schedule; Collection; Strategic planning; Public opinion; Risk assessment; Marshalling; Lead team; Triangulation; Team building; Service provision; Fear; Civil; Motivate others,Marketing strategy and branding; Driving and automotive maintenance; Business management; Multimedia production; Financial asset management; Languages; Hr management; Electrical work; Archiving and libraries; Recruitment; Media relations; Audit and compliance; Construction; Ophthalmology; Supply chain management; Civil engineering; Low vision support,8
Instructing exercise and fitness,Age; Instruct; Instructing; Management; Contraindication; Music; Welfare; Cardiovascular fitness; Training; Informed consent; Projection; History; Storage; Risk assessment; Propulsion; Pool; Muscle; Rehabilitation; Mobility; Injury prevention,Physiotherapy and beauty; Teaching; Social work and caregiving; Business management; Autoimmune conditions; Multimedia production; Nutrition and diabetes management; Hr management; Extracurricular activities and childcare; Employee development; Phlebotomy; Animation; Recruitment; Languages; Shipping and warehouse operations; Audit and compliance; Structural engineering; Environmental planning; Marketing strategy and branding; Tissue culture,8
Interpreting,Written communication; Contract negotiation; Management; Mentor; Video conferencing; Note taking; Troubleshoot; Body language,Media relations; Procurement; Business management; Employee development; Networks; Office administration; Recruitment; Extracurricular activities and childcare,8
Common standards across the justice sector,Management; Promote; Age; Mental health; Acting; Public service; Learning disability; Religious belief; Civil; Survey; Training; Information sharing; Risk assessment; Manifest; Mentor; Impact assessment; Telecommunication; Grammar; Audit trail; Audit,Mental health; Business management; Teaching; Marketing strategy and branding; Extracurricular activities and childcare; Civil engineering; Social work and caregiving; Multimedia production; Employee development; Languages; Audit and compliance; Digital marketing; Hr management; Graphic and digital design; Environmental planning; Networks; Recruitment; Procurement; Shipping and warehouse operations,8
Abnormal load escorting,Transport; Haulage; Lighting; Permit; Bridge; Management; Hand signal; Traffic management; Brake; Clutch; Engine; First aid; Instrument control; Lock; Tachograph; Differential; Antenna; Ventilation; Vehicle systems; Type approval,"Driving and automotive maintenance; Shipping and warehouse operations; Animation; Civil engineering; Automotive engineering; Extracurricular activities and childcare; Health, safety and environment; Low vision support; Languages; Critical care; Aviation; Construction; Chromosome examination; Heating, ventilation and plumbing; It security implementation; Recruitment; Claims administration; Audit and compliance",8
Construction using off site manufactured assemblies,Sustainability; Instruction; Machinery; Installation; Power tool; Storage; Risk assessment; Hand tool; Ventilation; Work efficiently; Schedule; Decking; Adhesive; Cable; Flooring; Fall protection; Mortar; Floor; Steel frame; Consumables,"Construction; Electrical work; It support; Energy; Claims administration; Driving and automotive maintenance; Shipping and warehouse operations; Audit and compliance; Heating, ventilation and plumbing; Hr management; Construction engineering; Welding and machining; Accounting admin; Oil and gas extraction; Multimedia production; Employee development; Graphic and digital design; Structural engineering; Manufacturing methods",8
Nos for operational delivery contact centre roles,Promote; Management; Qualitative analysis; Cost; Marketing; Social marketing; Acting; Validation; Articulate; Synthesis; Show empathy; Objective setting; Vision; Disciplinary procedure; Interpersonal skill; Listen; Listen actively; Resourcing; Training; Instruction,"Marketing strategy and branding; Business management; Procurement; Digital marketing; Financial asset management; Graphic and digital design; Employee development; Multimedia production; It support; Electronics; Histology; Business analysis and it projects; Legacy mainframe; Retail management; Mental health; Mainframe programming; Claims administration; Health, safety and environment; Audit and compliance; Hr management",8
Chimney engineering construction,Instruction; Power tool; Storage; Hand tool; Work efficiently; Schedule; Sand; Cleaning; Additive; Mortar; Risk assessment; Sustainability; Equipment cleaning; Sealant; Adhesive; Trench; Surface water; Inspection; Drainage; Solvent,"Construction; Claims administration; Driving and automotive maintenance; Shipping and warehouse operations; Hr management; Electrical work; Languages; Energy; Manufacturing methods; Welding and machining; Audit and compliance; Animation; Hydrology; Heating, ventilation and plumbing; Oil and gas extraction; Employee development; It support; Recruitment; Multimedia production; Extracurricular activities and childcare",8
Bulk liquid operations,Instruction; People work; Schedule; Cleaning; Tank; Storage; Flange; Permit; Risk assessment; Maintain equipment; Inspection; Typography; Gasket; Avoid contamination; Calculation; Calibration; Disciplinary procedure; Medical assistance; Environmental legislation; Maximum,"Claims administration; Digital marketing; Electrical work; Driving and automotive maintenance; Health, safety and environment; Languages; Shipping and warehouse operations; Welding and machining; Heating, ventilation and plumbing; Audit and compliance; Graphic and digital design; Accounting and financial management; Manufacturing methods; Retail management; Patient assistance and care; Mainframe programming; Social work and caregiving; Accounting admin",8
Monitoring engineering construction activities,Instruction; Installation; Shipyard; Tunnel; Explosive; Inside plant; Management; Instrumentation; Storage; Version control; Calibration; Logistics; Waste management; Maintenance repair; Repair; Change management; Change request; Schedule; Inspection; Supply chain,"Claims administration; Business management; Civil engineering; It support; Languages; Structural engineering; Recruitment; Driving and automotive maintenance; Extracurricular activities and childcare; Procurement; Shipping and warehouse operations; Software development; Manufacturing methods; Health, safety and environment; Electrical work; Welding and machining; Hr management; Energy; Marketing strategy and branding; Electronics",8
Manufacturing sewn products,Environmental legislation; Instruction; Production process; Fault; Machinery; Storage; Cleaning; Tolerance; Schedule; Test equipment; Compliance; Sewing; Boiler; Fabric type; Parameter; Dye; Process specification; Machine setting; Vision; Ass customer,"Welding and machining; Manufacturing methods; Driving and automotive maintenance; Languages; Health, safety and environment; Claims administration; Shipping and warehouse operations; Employee development; Audit and compliance; Electronics; Hr management; Heating, ventilation and plumbing; Structural engineering; Data engineering; Business analysis and it projects; Legacy mainframe; Procurement; Electrical work; Software development; Office administration",8
Carton manufacture,Fault; Machinery; Unloading; Printing; Stack; Environmental legislation; Adhesive; Lock; Storage; Schedule; Management; Memo; Emergency shutdown; Repair; Grain; Cost; Bridge; Production schedule; Aperture; Contingency plan,"Driving and automotive maintenance; Languages; Health, safety and environment; Animation; Networks; Construction; Business management; Welding and machining; Shipping and warehouse operations; Supply chain management; Office administration; Premises security; Procurement; Civil engineering; Data engineering; Construction engineering; Mental health; Electrical work; Manufacturing methods",8
Business improvement techniques suite 5 2006,Batch production; Mass production; Training; Business analysis; Business process; Business planning; Management; Cost; Floor; Mapping; Six sigma; Kaizen; Value stream mapping; Schedule; Scheme; Gather data; Swot analysis; Team building; Listen; Kanban,Manufacturing methods; Business management; Business analysis and it projects; Employee development; Procurement; Construction; Recruitment; Electrical work; Hr management; Office administration; Retail; Data engineering; Design and process engineering; Marketing strategy and branding; Languages; Audit and compliance; Legacy mainframe,8
Governance of risk 2013,Management; Risk management; Risk appetite; Embed; Tolerance; Business model; Articulate; Promote; Compliance; Delegated authority; Audit; Scheme; Schedule; Risk management framework; Scanning; It strategy; Data integrity; Training; Cost; Remuneration,Financial asset management; Business management; Marketing research; Employee development; Welding and machining; Audit and compliance; Hr management; Graphic and digital design; Marketing strategy and branding; Claims administration; Electrical work; Animation; Business analysis and it projects; Procurement; Social work and caregiving; Mainframe programming,8
Mastic asphalt construction,Instruction; Storage; Work efficiently; Hand tool; Schedule; Asphalt plant; Layer; Surfacing; Sustainability; Sketch; Power tool; Installation; Insulation; Primer; Apply primer; Gutter; Blister; Repair; Decking; Deck,"Construction; Claims administration; Shipping and warehouse operations; Hr management; Electrical work; Civil engineering; Manufacturing methods; Oil and gas extraction; Energy; Graphic and digital design; It support; Mainframe programming; Logistics administration; Surgical procedures; Driving and automotive maintenance; Physics and math; Audit and compliance; Heating, ventilation and plumbing",8
Facilities management level 4,Management; Facility management; Promote; Cost; Training; Make decision; Identify opportunity; Timeline; Schedule; Financial control; Negotiation skill; Identify training need; Interact with others; Mobility; Mediation; Recruiting; Recruit; Financial management; Projection; Calculation,"Business management; Employee development; Procurement; Health, safety and environment; Marketing strategy and branding; Accounting and financial management; Graphic and digital design; Electrical work; Low vision support; Environmental planning; Legal services; Recruitment; System administration; Animation; Hr management",8
Rail engineering telecoms suite 3,Direct current; Data acquisition; R; Instruction; Transmission systems; Information systems; Insulation; Switch; Acquisition; Global system for mobile communications; Overhead line; Compliance; Signal box; Scada; Test equipment; Management; Book; Iso; Switchgear; Permit,"Electrical engineering; Construction; Electrical work; Electronics; Networks; Marketing research; Claims administration; It security standards; Hr management; Civil engineering; Business management; Medical admin; Audit and compliance; Health, safety and environment; Tomography and microscopy; Manufacturing methods; Languages; Driving and automotive maintenance; It support; Social work and caregiving",8
Equine barefoot care,Welfare; Age; Training; Score; Anatomy; Physiology; Personal injury; Therapy; Steroid; Nutrition; Forging; Pathology; Mural; Prescription; Fault; React; Training programme; Operant conditioning; Schedule,Hr management; Social work and caregiving; Employee development; Physiotherapy and beauty; Recruitment; Respiratory disease; Surgery; Dermatology; Pathophysiology; Nutrition and diabetes management; Legacy mainframe; Pathology; Construction engineering; Mental health; Languages; Data engineering; Electrical work,8
Production of glass supporting fabrications,Information systems; Schedule; Storage; Instruction; Cost; Maintain equipment; Salvage; Transport; Inspection; Drilling,It security standards; Electrical work; Shipping and warehouse operations; Driving and automotive maintenance; Claims administration; Procurement; Oil and gas extraction,8
Debt collections,Licence regulation; Articulate; Collection; Financial transaction; Validation; Telecommunication; Transaction; Bankruptcy; Cost; Vocal technique; Settlement; Calculation; Expert witness; Statistic; Management; Training; Service level agreement; Identify training need,Claims administration; Graphic and digital design; Archiving and libraries; Accounting and financial management; Electronics; Networks; Shipping and warehouse operations; Business management; Employee development; Payroll and tax accounting; Procurement; Extracurricular activities and childcare; Languages; Research methods and statistics,8
Barbering,Management; Comment; Instruction; Hair; Environmental protection; Verbal communication skill; First aid; Solar panel; Promote; Curl hair; Panel; Creativity; Curl; Porosity; Lighting; Hair product; Energy efficiency; Cleaning; Packaging; Combination texture,"Animation; Driving and automotive maintenance; Languages; Health, safety and environment; Business management; Journalism and writing; Claims administration; Speech and hearing therapy; Critical care; Manufacturing methods; Solar and wind energy; Marketing strategy and branding; Extracurricular activities and childcare; Employee development; Web development; Tomography and microscopy; Energy; Mainframe programming; Graphic and digital design; Physiotherapy and beauty",8
Craft glass,Craft; Instruction; Crafting; Coat; Etching; Printing; Decorating; Decorate; Cleaning; Painting,Construction; Claims administration; Animation; Languages; Driving and automotive maintenance,8
Providing financial advice and financial planning,Ethical conduct; Promote; Investment performance; Investment planning; Articulate; Cost; Macro; Investment theory; Schedule; Prospective client; Booking; Acquisition; Template; Financial statement; Transaction; Inspection; Key performance indicator kpis,Financial asset management; Audit and compliance; Marketing strategy and branding; Accounting and financial management; Graphic and digital design; Procurement; Electrical work; General sales; Medical admin; Software development; Shipping and warehouse operations; Driving and automotive maintenance; Business management,8
Drinks dispense systems,Installation; Fault; Repair; Schedule; Sales; Drainage; Ventilation; Promote; Record keeping; Training; Temperature measurement; Maintenance and repair; Pressure testing; Cleaning; Technical drawing; Environmental legislation; Marketing material; Marketing; Merchandising; Survey,"Driving and automotive maintenance; Audit and compliance; It support; Heating, ventilation and plumbing; Languages; Electrical work; General sales; Marketing strategy and branding; Office administration; Employee development; Electrical engineering; Welding and machining; Manufacturing methods; Health, safety and environment; Event planning; Retail; Civil engineering; Construction engineering; Procurement; Electronics",8
Recruitment,Recruiting; Active listening; Promote; Listening; Compliance; Delegate activity; Collection; Resourcing; Data collection; Build effective relationship; Advertising; Identify opportunity; Application process; Listen; Body language; Financial transaction; Manage feedback; Transaction; Smooth; Management,Recruitment; Hr management; Low vision support; Marketing strategy and branding; Employee development; Business management; Business analysis and it projects; Extracurricular activities and childcare; Procurement; Research methods and statistics; Advertising; Accounting and financial management; Oil and gas extraction; Medical admin,8
Farriery,Forge; Parameter; Welfare; Weld; Welding equipment; Welding; Storage; Ventilation; Fuel gas; Forging; Hand tool; Horse riding; Alteration; Inert gas; Electrode; Hardfacing; Lighting; Hardening; Fault; Shoemaking,"Welding and machining; Legacy mainframe; Data engineering; Hr management; Construction; Shipping and warehouse operations; Heating, ventilation and plumbing; Automotive engineering; Extracurricular activities and childcare; Laboratory techniques; Recruitment; Animation; Languages; Driving and automotive maintenance; Social work and caregiving; Manufacturing methods",8
Maintenance and repair heavy vehicle,Instruction; Cost; Inspection; Fault; Repair; Vehicle systems; Electrical systems; Mechanical systems; Tolerance; Vehicle maintenance; Engine; Hand tool; Brake; Dynamometer; Chassis; Wiring; Input output; Voltage; Fibre optic; Emission standard,"Electrical engineering; Driving and automotive maintenance; Automotive engineering; Languages; Claims administration; Procurement; Construction; Heating, ventilation and plumbing; Electrical work; Employee development; Animation; Software development; Design and process engineering; Business management; Data engineering; Hr management",7
Engineered wood,Information systems; Fault; Panel; Cut wood; Instruction; Floor; Lumber; Roof; Storage; Sustainability; Management; Scope statement; Cost; Training; Forklift truck; Environmental policy; Sawing; Machinery; Tolerance; Structural load,"Construction; It security standards; Driving and automotive maintenance; Languages; Employee development; Claims administration; Shipping and warehouse operations; Energy; Business management; Software development; Procurement; Health, safety and environment; Structural engineering; Accounting admin",7
Enforcement agents previously private bailiffs,Instruction; Risk assessment; Age; Record keeping; Social services; Welfare; Inspection; Emergency services; Training; Warning sign; Compliance; Transporting; Audit trail; Audit; React; Transport; History; Environmental issue; Cost; Eviction,"Social work and caregiving; Claims administration; Audit and compliance; Driving and automotive maintenance; Hr management; Office administration; Employee development; Premises security; Recruitment; Data engineering; Languages; Health, safety and environment; Procurement; Retail management; Digital marketing",7
Supporting activities in engineering construction,Installation; Shipyard; Tunnel; Explosive; Risk assessment; Inside plant; Permit; Consumables; Packaging; Engineering activity; Composite; Tolerance; Cleaning; Sealant; Insulation; Calibration; Inspection; Machine tool; Hand tool; Hoist,"Structural engineering; It support; Civil engineering; Languages; Audit and compliance; Recruitment; Health, safety and environment; Construction; Manufacturing methods; Accounting admin; Driving and automotive maintenance; Welding and machining; Design and process engineering; Employee development; Shipping and warehouse operations; Claims administration",7
Marine engineering,Risk assessment; Iso; Consumables; Compliance; Iso standard; Permit; Instruction; Gasket; Cable; Schedule; Cleanliness; Storage; Nozzle; Coupling; Fault; Propulsion; Proof; Lock; Propeller; Interpret drawing,"Welding and machining; Electrical engineering; Audit and compliance; Languages; Construction; Electrical work; Heating, ventilation and plumbing; Extracurricular activities and childcare; Oil and gas extraction; Accounting admin; Hr management; Driving and automotive maintenance; Structural engineering; Design and process engineering; Automotive engineering; It security standards; Health, safety and environment; Claims administration; Graphic and digital design; Aviation",7
"Life, pensions and investments",Alteration; Settlement; Calculation; Quotation; Advise customer; Dispatch; Information systems,Construction; Languages; Accounting and financial management; General sales; Office administration; It security standards,7
Welding plate and pipework,Welding; Consumables; Welding procedure specification; Storage; Instruction; Installation; Shipyard; Tunnel; Explosive; Inside plant; Visual inspection; Oxidation; Weld; Parameter; Porosity; Inspection; Cleaning; Welding equipment; Cabling; Voltage,Welding and machining; Driving and automotive maintenance; Data engineering; Accounting admin; Shipping and warehouse operations; Languages; Claims administration; It support; Civil engineering; Structural engineering; Recruitment; Manufacturing methods; Tomography and microscopy; Electrical engineering; Electrical work; Mainframe programming; Extracurricular activities and childcare; Construction; Physics and math,7
"Kitchen, bedroom and bathroom design",Elevation; Sustainability; Energy efficiency; Fault; Scope statement; Survey; Storage; Sketch; Installation; Tolerance; Bridge; Plotter; Tablet; Housekeeping; Scanner; Editing; Printer; Computer operating systems; Lighting; Cable,Languages; Energy; It support; Civil engineering; Graphic and digital design; Software development; Construction; Shipping and warehouse operations; Employee development; Digital content authoring; Social work and caregiving; Office administration; Animation; Electrical work; Construction engineering; Electronics; Manufacturing methods; Journalism and writing; Procurement; Legacy mainframe,7
Fitted furniture installation,Cost; Sales; Management; Comment; Collection; Plotter; Editing; Printer; Lighting; Elevation; Cleanliness; Design management; Schedule; Service provision; Installation; Sales management; Service level agreement; Sales support; Gather data; Quotation,General sales; Procurement; Archiving and libraries; It support; Languages; Business management; Complex sales; Journalism and writing; Digital content authoring; Graphic and digital design; Animation; Social work and caregiving; Design and process engineering; Electrical work; Supply chain management; Office administration; Accounting and financial management; Retail; Recruitment; Extracurricular activities and childcare,7
Expediting,Management; Schedule; Database; Spreadsheet; Negotiation skill; Cost; Compliance; Edit; Instruction; Word processing; Order management; Project stakeholder; Working remotely; Active listening; Listening; Freight; Factor analysis; Production process; Supply chain; Supply chain management,Procurement; Electrical work; Hr management; Business management; Audit and compliance; Mainframe programming; Accounting admin; Languages; Legal services; Graphic and digital design; Claims administration; Medical admin; Logistics administration; Office administration; Low vision support; Shipping and warehouse operations; Marketing research; Manufacturing methods; Business analysis and it projects; Software development,7
Administration for mortgage and or financial planning intermediaries,Financial planning; Quotation; Illustration; Office administration; Invoice; Instruction; Prepare report; Report writing; Proactive; Process improvement; Technical assistance; Compliance; Resourcing,"Accounting and financial management; Claims administration; Languages; Graphic and digital design; Office administration; Accounting admin; Health, safety and environment; Hr management; Business management; Electrical engineering; Procurement",7
Understanding enterprise,Innovation; Promote; Marketing; Listen; Management; Financial planning,Marketing strategy and branding; Employee development; Recruitment; Business management; Accounting and financial management,7
Intercultural working standards for working with people from different countries and diverse cultures,Cultural diversity; English; English language; Listen; Cooperation; Idiom; Promote; Training; Foreign language; Spelling; Body language; Interpersonal skill; Cost; Transaction; Mentoring; Politeness; Financial transaction; Acquisition; Management; Consultant,Languages; Employee development; Recruitment; Marketing strategy and branding; Environmental planning; Physics and math; Extracurricular activities and childcare; Mental health; Procurement; Business management; Financial asset management; Office administration; Shipping and warehouse operations; Accounting and financial management; Securities trading; Supply chain management; Hr management; System administration; Claims administration; Graphic and digital design,7
Thermal insulation construction,Sustainability; Instruction; Insulation; Power tool; Storage; Risk assessment; Hand tool; Ventilation; Work efficiently; Schedule; Thermal; Thermal insulation; Sheet metal; Template; Flange; Welding; Stud welding; Trigonometry; Geometry; Adhesive,"Construction; Heating, ventilation and plumbing; Hr management; Energy; Welding and machining; Claims administration; Shipping and warehouse operations; Audit and compliance; Electrical work; Software development; Health, safety and environment; Chromosome examination; Physics and math; Employee development; Business analysis and it projects; Civil engineering; Procurement; It security standards; Archiving and libraries; Ophthalmology",7
Ticketing,Booking; Computer keyboard; Social medium; Promote; Sales; Marketing; Proactive; Printer; Printing; Transaction; Business continuity; Sell ticket; Audit; Voucher; Prevent theft; Marketing channel; Intranet; Vision; Transport; Book,Digital marketing; It support; Marketing strategy and branding; Medical admin; General sales; Hr management; Animation; Complex sales; Shipping and warehouse operations; Business management; Event planning; Office administration; Audit and compliance; Graphic and digital design; Retail management; Networks; Legacy mainframe; Driving and automotive maintenance; Languages; Mainframe programming,7
Installing plant and systems mechanical,Installation; Shipyard; Tunnel; Explosive; Inside plant; Consumables; Storage; Instruction; Machine tool; Parameter; Drilling; Machinery; Heat exchanger; Hvac; Transmission systems; Engine; Pressure vessel; Turbine; Composite; Machining,"Structural engineering; It support; Civil engineering; Languages; Recruitment; Accounting admin; Shipping and warehouse operations; Claims administration; Heating, ventilation and plumbing; Oil and gas extraction; Manufacturing methods; Electrical engineering; Data engineering; Driving and automotive maintenance; Animation; Employee development; Logistics administration; Welding and machining; Electronics; Construction",7
Explosive substances and articles;explosives substances and articles suite 3 2009,Management; Instruction; Explosive; Audit; Compliance; Storage; Transport; Concept development; Risk assessment; Category management; Application process; Packaging,Business management; Claims administration; Structural engineering; Audit and compliance; Hr management; Shipping and warehouse operations; Driving and automotive maintenance; Design and process engineering; Procurement; Business analysis and it projects; Manufacturing methods,7
Community wardens,Cleaning; Repair; Incident report; Promote; Risk assessment; Body language; Sketch; Community relations,Driving and automotive maintenance; Retail management; Marketing strategy and branding; Audit and compliance; Extracurricular activities and childcare; Graphic and digital design; Environmental planning,7
Accident repair smart cosmetic,Instruction; Panel; Cost; Repair; Fault; Additive; Composite; Primer; Coat; Etch; Cleaning; Refinishing; Avoid contamination; Cosmetic; Hand tool; Personal injury; Polish; Vehicle systems; Painting; Sealant,"Construction; Languages; Driving and automotive maintenance; Welding and machining; Health, safety and environment; Claims administration; Procurement; Manufacturing methods; Structural engineering; Mainframe programming; Animation; Automotive engineering; Extracurricular activities and childcare; Surgery; Archiving and libraries; Electrical work; Tomography and microscopy; Legacy mainframe; Multimedia production; Oil and gas extraction",7
Treatment process operations,Management; Data audit; Environmental protection; Audit trail; Audit; Storage; Storage systems; Instruction; Sludge; Risk assessment; Parameter; Throughput; Schedule; Visual inspection; Breakage; Inspection; Drug treatment; Tank; Instrumentation; Optimisation,"Health, safety and environment; Audit and compliance; Driving and automotive maintenance; Business management; Recruitment; System administration; Claims administration; Shipping and warehouse operations; Data engineering; Languages; Mainframe programming; Laboratory techniques; Electrical work; Civil engineering; Pharmacy; Extracurricular activities and childcare; Employee development; Teaching; Business analysis and it projects; Cell examination",7
Treatment processing and control in the water industry,Data audit; Instrumentation; Audit trail; Audit; Sludge; Cyber security; Storage; Schedule; Parameter; Instruction; Throughput; Equipment maintenance; Reagent; Remote monitoring; Management; Abstraction; Optimisation; Filtration; Aeration; Process adjustment,"Audit and compliance; Health, safety and environment; Driving and automotive maintenance; Extracurricular activities and childcare; Recruitment; It security operations; Shipping and warehouse operations; Electrical work; Data engineering; Hydrology; Mainframe programming; Business management; Claims administration; Laboratory techniques; Marketing research; Phlebotomy; Mental health; Procurement; General sales; Accounting admin",7
Constructing capital plant steel structures erecting,Consumables; Installation; Shipyard; Storage; Tunnel; Explosive; Inside plant; Instruction; Permit; Weld; Inspection; Compliance; Schedule,"Accounting admin; It support; Civil engineering; Shipping and warehouse operations; Languages; Structural engineering; Recruitment; Claims administration; Health, safety and environment; Welding and machining; Driving and automotive maintenance; Hr management; Electrical work",7
Hire and leasing,Promote; Instruction; Pricing; Calculator; Transaction; Acting; Storage; Storage systems; Stock control; Prepare order; Installation; Sort; Collection; Sales; Merchandising; Sketch; Cleaning; Visual merchandising,Shipping and warehouse operations; Logistics administration; Marketing strategy and branding; Claims administration; Financial asset management; Medical admin; Multimedia production; System administration; It support; Office administration; Archiving and libraries; General sales; Graphic and digital design; Driving and automotive maintenance; Retail,7
Handbinding,Book; Management; Adhesive; Decorating; Stack; Fault; Template; Progress report; Testimony; Simulation; Schedule; Machinery; Printing; Performance improvement; Maintain equipment; Blister; French; Sewing; Emergency shutdown; Decorate,Business management; Medical admin; Welding and machining; Construction; Languages; Driving and automotive maintenance; Animation; Networks; Software development; Construction engineering; Claims administration; Electronics; Electrical work; Surgical procedures; Premises security; Mental health; Office administration; Recruitment,7
Automated baking,Food; Instruction; Process control; Avoid contamination; Process adjustment; Unloading; Injector; Unload; Moulding; Compliance; Production process; Danish; Bakery; Time constraint,"Languages; Claims administration; Driving and automotive maintenance; Manufacturing methods; Health, safety and environment; Mental health; Phlebotomy; Construction; Hr management; Environmental planning; Marketing research",7
Mail handling security,Instruction; Information systems; Explosive; Risk assessment; Ammunition; Scanning; Fault; Contingency plan; Welfare; Decontamination; Training; First aid; Mailroom; Sort; Storage; Collection; Packaging; Handle mail,Claims administration; It security standards; Structural engineering; Audit and compliance; Office administration; Driving and automotive maintenance; Animation; Languages; Supply chain management; Hr management; Gastroenterology; Employee development; Critical care; Construction; Shipping and warehouse operations; Archiving and libraries; Manufacturing methods,7
Operational delivery,Security regulation; Compliance; Cost; Information share; Information sharing; Edit; Timeline; Information security; Security policy; Effective listening; Listening; Social medium; Listen; Labour market; Marketing; Make decision,Securities trading; Hr management; Digital marketing; Graphic and digital design; Procurement; It security operations; It security implementation; Employee development; Recruitment; Marketing strategy and branding; Business management,7
Residential landlords,Inspection; Repair; Promote; Marketing material; Marketing; Render; Advertising; Emergency repair; Cost; Costing; Maintenance and repair; Fault; Risk assessment; Comment; Furnishing; Covenant; Acting,Driving and automotive maintenance; Marketing strategy and branding; Procurement; Event planning; Animation; Advertising; Languages; Audit and compliance; Journalism and writing; Construction; Claims administration; Multimedia production,7
Solar thermal photovoltaic panel installation and surveying,Thermal; Installation; Panel; Roof; Instruction; Remove roof; Tolerance; Permit; Training; Consumables; Waterproof; Survey; Sketch,"Construction; Oil and gas extraction; It support; Employee development; Claims administration; Health, safety and environment; Accounting admin; Civil engineering; Graphic and digital design",7
Moving loads,Management; Consumables; Installation; Shipyard; Storage; Tunnel; Explosive; Inside plant; Task analysis; Risk assessment; Permit; Weld; Hoist; Forklift truck; Winch; Schedule; Systems management; Sawing; Cost; Information systems,"Accounting admin; It support; Civil engineering; Shipping and warehouse operations; Languages; Structural engineering; Recruitment; Business management; Design and process engineering; Audit and compliance; Welding and machining; Construction; Health, safety and environment; Driving and automotive maintenance; Electrical work; System administration; Procurement; It security standards; Mainframe programming",7
Scientific manufacture suite 3 2009;scientific manufacture suite 2 2009,Instruction; Sorting; Hair; Coat; Aseptic; Risk assessment; Biomaterial; Cleaning; Parameter; Calibration; Aseptic technique; Collect sample; Collection; Bioreactors; Downstream processing; Filtration; Switch; Equipment maintenance; Autoclave; Machinery,Biotechnology manufacturing; Languages; Driving and automotive maintenance; Claims administration; Office administration; Manufacturing methods; Audit and compliance; Data engineering; Laboratory techniques; Construction; Tissue culture; Hydrology; Networks; Marketing research; Logistics administration; Archiving and libraries; System administration; Welding and machining; Phlebotomy; Accounting admin,7
Self administration,Interpersonal skill; Cost; Information sharing; Database; Sort; Proof; Book; Search engine; Editing; Edit; Engine; Intranet; Archive; Comment; Travel arrangement; Office equipment; Instruction; Printer; Fault,Mental health; Procurement; Office administration; Graphic and digital design; Digital marketing; Mainframe programming; Medical admin; Networks; Archiving and libraries; Journalism and writing; Claims administration; It support; Languages,7
Asbestos,Survey; Management; Synthesis; Cost; Inspection; Demolition; Risk assessment; Record keeping; Sketch; Training; Career development; Education; Mentoring; Compliance; Consultant; Benchmarking; Project stakeholder; Age; Insulation; Installation,Employee development; Civil engineering; Hr management; Driving and automotive maintenance; Business management; Histology; Procurement; Construction engineering; Audit and compliance; Office administration; Graphic and digital design; Teaching; Recruitment; Social work and caregiving; Construction; It support; Medical admin; Welding and machining,7
Breast screening and assessment,Anatomy; Physiology; Pathology; Surgery; Age; Mammography; History; Physic; Listen; Infection control; Storage; Pathophysiology; Fault; Compliance; Ionising radiation; Therapy; Life support; Surgical procedure; Anaesthetic; Calibration,Diagnostic imaging; Languages; Phlebotomy; Physiotherapy and beauty; Respiratory disease; Surgery; Pathology; Social work and caregiving; Physics and math; Recruitment; Anesthesiology; Shipping and warehouse operations; Pathophysiology; Driving and automotive maintenance; Hr management; Dermatology; Mainframe programming; Manufacturing methods; Multimedia production; Gynecology and urology,7
